trait_b	Condition	trait_a	trait_cor
PC3	arsenic3	mean.norm.EXT	-0.153899741367297
mean.norm.EXT	arsenic3	mean.norm.yellow	0.605846657676217
mean.norm.yellow	arsenic3	mean.norm.yellow	1
mean.TOF	arsenic3	mean.norm.yellow	0.101785243791337
norm.n	arsenic3	mean.norm.yellow	-0.551722300722472
PC1	arsenic3	mean.norm.yellow	-0.794630557112493
PC2	arsenic3	mean.norm.yellow	-0.417941877918791
PC3	arsenic3	mean.norm.yellow	-0.39718901640132
mean.norm.EXT	arsenic3	mean.TOF	0.657708282129039
mean.norm.yellow	arsenic3	mean.TOF	0.101785243791337
mean.TOF	arsenic3	mean.TOF	1
norm.n	arsenic3	mean.TOF	-0.0590899585174599
PC1	arsenic3	mean.TOF	-0.586354708729188
PC2	arsenic3	mean.TOF	0.755719065106014
PC3	arsenic3	mean.TOF	0.215616177466881
mean.norm.EXT	arsenic3	norm.n	-0.355343465083537
mean.norm.yellow	arsenic3	norm.n	-0.551722300722472
mean.TOF	arsenic3	norm.n	-0.0590899585174599
norm.n	arsenic3	norm.n	1
PC1	arsenic3	norm.n	0.652543203369089
PC2	arsenic3	norm.n	0.566432146359489
PC3	arsenic3	norm.n	-0.502937231186462
mean.norm.EXT	arsenic3	PC1	-0.903167882226745
mean.norm.yellow	arsenic3	PC1	-0.794630557112493
mean.TOF	arsenic3	PC1	-0.586354708729188
norm.n	arsenic3	PC1	0.652543203369089
PC1	arsenic3	PC1	1
PC2	arsenic3	PC1	1.19363777897021e-16
PC3	arsenic3	PC1	6.05613702395408e-16
mean.norm.EXT	arsenic3	PC2	0.286338129771583
mean.norm.yellow	arsenic3	PC2	-0.417941877918791
mean.TOF	arsenic3	PC2	0.755719065106014
norm.n	arsenic3	PC2	0.566432146359489
PC1	arsenic3	PC2	1.19363777897021e-16
PC2	arsenic3	PC2	1
PC3	arsenic3	PC2	6.65821158888698e-16
mean.norm.EXT	arsenic3	PC3	-0.153899741367297
mean.norm.yellow	arsenic3	PC3	-0.39718901640132
mean.TOF	arsenic3	PC3	0.215616177466881
norm.n	arsenic3	PC3	-0.502937231186462
PC1	arsenic3	PC3	6.05613702395408e-16
