term	power	df	sumsq	meansq	statistic	p.value	etasq	partial.etasq	omegasq	partial.omegasq	cohens.f	condition	trait	strain1	strain2
Strain	0.622	1	0.001	0.001	5.153	0.029	0.125	0.125	0.099	0.099	0.378	arsenic2	mean.norm.yellow	DL238	N2
Strain	0.549	1	0.002	0.002	4.338	0.044	0.102	0.102	0.077	0.077	0.338	arsenic2	mean.norm.yellow	JU775	N2
Strain	0.509	3	0.002	0.001	1.959	0.128	0.074	0.074	0.036	0.036	0.282	arsenic2	mean.norm.yellow	ALL	ALL
Strain	0.987	1	4471.769	4471.769	17.435	0	0.326	0.326	0.302	0.302	0.696	arsenic2	mean.TOF	CB4856	DL238
Strain	0.885	1	6925.302	6925.302	9.978	0.003	0.208	0.208	0.183	0.183	0.512	arsenic2	mean.TOF	CB4856	JU775
Strain	0.999	1	6518.06	6518.06	27.169	0	0.417	0.417	0.395	0.395	0.846	arsenic2	mean.TOF	CB4856	N2
Strain	0.085	1	199.588	199.588	0.304	0.585	0.008	0.008	-0.019	-0.019	0.092	arsenic2	mean.TOF	DL238	JU775
Strain	0.142	1	137.122	137.122	0.772	0.385	0.021	0.021	-0.006	-0.006	0.146	arsenic2	mean.TOF	DL238	N2
Strain	0.051	1	6.17	6.17	0.01	0.921	0	0	-0.025	-0.025	0.016	arsenic2	mean.TOF	JU775	N2
Strain	0.98	3	9239.788	3079.929	6.956	0	0.22	0.22	0.186	0.186	0.531	arsenic2	mean.TOF	ALL	ALL
Strain	1	1	26686.213	26686.213	28.562	0	0.442	0.442	0.42	0.42	0.891	arsenic2	norm.n	CB4856	DL238
Strain	1	1	24835.36	24835.36	31.011	0	0.449	0.449	0.429	0.429	0.903	arsenic2	norm.n	CB4856	JU775
Strain	0.844	1	7427.059	7427.059	8.821	0.005	0.188	0.188	0.164	0.164	0.482	arsenic2	norm.n	CB4856	N2
Strain	0.071	1	99.401	99.401	0.18	0.674	0.005	0.005	-0.022	-0.022	0.071	arsenic2	norm.n	DL238	JU775
Strain	0.903	1	6316.645	6316.645	10.613	0.002	0.228	0.228	0.202	0.202	0.543	arsenic2	norm.n	DL238	N2
Strain	0.903	1	5099.673	5099.673	10.634	0.002	0.219	0.219	0.194	0.194	0.529	arsenic2	norm.n	JU775	N2
Strain	1	3	35286.789	11762.263	16.784	0	0.405	0.405	0.378	0.378	0.825	arsenic2	norm.n	ALL	ALL
Strain	0.339	1	0.26	0.26	2.387	0.131	0.059	0.059	0.034	0.034	0.251	arsenic3	mean.norm.EXT	CB4856	DL238
Strain	0.39	1	0.198	0.198	2.826	0.101	0.069	0.069	0.044	0.044	0.273	arsenic3	mean.norm.EXT	CB4856	JU775
Strain	0.122	1	0.045	0.045	0.609	0.44	0.016	0.016	-0.01	-0.01	0.127	arsenic3	mean.norm.EXT	CB4856	N2
Strain	0.056	1	0.004	0.004	0.055	0.816	0.001	0.001	-0.024	-0.024	0.038	arsenic3	mean.norm.EXT	DL238	JU775
Strain	0.722	1	0.523	0.523	6.491	0.015	0.146	0.146	0.121	0.121	0.413	arsenic3	mean.norm.EXT	DL238	N2
Strain	0.896	1	0.434	0.434	10.373	0.003	0.214	0.214	0.19	0.19	0.522	arsenic3	mean.norm.EXT	JU775	N2
Strain	0.748	3	0.732	0.244	3.238	0.027	0.113	0.113	0.077	0.077	0.358	arsenic3	mean.norm.EXT	ALL	ALL
Strain	0.763	1	0.006	0.006	7.156	0.011	0.158	0.158	0.133	0.133	0.434	arsenic3	mean.norm.yellow	CB4856	DL238
Strain	0.994	1	0.014	0.014	20.202	0	0.347	0.347	0.324	0.324	0.729	arsenic3	mean.norm.yellow	CB4856	JU775
Strain	0.886	1	0.005	0.005	10.022	0.003	0.209	0.209	0.184	0.184	0.514	arsenic3	mean.norm.yellow	CB4856	N2
Strain	0.348	1	0.002	0.002	2.46	0.125	0.061	0.061	0.035	0.035	0.254	arsenic3	mean.norm.yellow	DL238	JU775
Strain	0.063	1	0	0	0.114	0.738	0.003	0.003	-0.023	-0.023	0.055	arsenic3	mean.norm.yellow	DL238	N2
Strain	0.715	1	0.002	0.002	6.397	0.016	0.144	0.144	0.119	0.119	0.41	arsenic3	mean.norm.yellow	JU775	N2
Strain	0.991	3	0.014	0.005	8.024	0	0.241	0.241	0.208	0.208	0.563	arsenic3	mean.norm.yellow	ALL	ALL
Strain	0.153	1	574.592	574.592	0.863	0.359	0.022	0.022	-0.003	-0.003	0.151	arsenic3	mean.TOF	CB4856	DL238
Strain	0.286	1	1152.664	1152.664	1.945	0.171	0.049	0.049	0.023	0.023	0.226	arsenic3	mean.TOF	CB4856	JU775
Strain	0.94	1	5403.623	5403.623	12.374	0.001	0.246	0.246	0.221	0.221	0.571	arsenic3	mean.TOF	CB4856	N2
Strain	0.07	1	99.606	99.606	0.175	0.678	0.005	0.005	-0.021	-0.021	0.068	arsenic3	mean.TOF	DL238	JU775
Strain	0.682	1	2454.082	2454.082	5.924	0.02	0.135	0.135	0.11	0.11	0.395	arsenic3	mean.TOF	DL238	N2
Strain	0.572	1	1564.869	1564.869	4.589	0.039	0.108	0.108	0.082	0.082	0.348	arsenic3	mean.TOF	JU775	N2
Strain	0.81	3	5624.718	1874.906	3.724	0.015	0.128	0.128	0.093	0.093	0.383	arsenic3	mean.TOF	ALL	ALL
Strain	1	1	22614.613	22614.613	40.747	0	0.517	0.517	0.498	0.498	1.036	arsenic3	norm.n	CB4856	DL238
Strain	0.996	1	10145.343	10145.343	21.64	0	0.363	0.363	0.34	0.34	0.755	arsenic3	norm.n	CB4856	JU775
Strain	0.263	1	755.908	755.908	1.752	0.194	0.044	0.044	0.018	0.018	0.215	arsenic3	norm.n	CB4856	N2
Strain	0.807	1	2465.864	2465.864	7.995	0.007	0.174	0.174	0.149	0.149	0.459	arsenic3	norm.n	DL238	JU775
Strain	1	1	15101.405	15101.405	55.72	0	0.595	0.595	0.578	0.578	1.211	arsenic3	norm.n	DL238	N2
Strain	1	1	5362.678	5362.678	29.013	0	0.433	0.433	0.412	0.412	0.874	arsenic3	norm.n	JU775	N2
Strain	1	3	28222.906	9407.635	25.432	0	0.501	0.501	0.478	0.478	1.002	arsenic3	norm.n	ALL	ALL
Strain	0.478	1	0.614	0.614	3.629	0.065	0.094	0.094	0.066	0.066	0.322	arsenic4	mean.norm.EXT	CB4856	DL238
Strain	0.229	1	0.166	0.166	1.475	0.233	0.04	0.04	0.013	0.013	0.205	arsenic4	mean.norm.EXT	CB4856	JU775
Strain	0.447	1	0.51	0.51	3.339	0.076	0.087	0.087	0.059	0.059	0.309	arsenic4	mean.norm.EXT	CB4856	N2
Strain	0.164	1	0.131	0.131	0.953	0.336	0.029	0.029	-0.001	-0.001	0.173	arsenic4	mean.norm.EXT	DL238	JU775
