DR_H2	Strain_Effect	Residual_Var	Coef_Gv	Coef_Rv	condition	trait
0.240394552728876	0.00724643356097337	0.0228974839226566	-51.8789199018198	-92.2194758931839	arsenic1	mean.norm.EXT
0.117009915121795	3.89734189935296e-05	0.000294104499685091	-23.5241444327779	-64.6220035022682	arsenic1	mean.norm.yellow
0.463462879261126	244.248672471983	282.759386644586	-28.4891021605806	-30.6528720274553	arsenic1	mean.TOF
0.253481550773879	431.886541688892	1271.931903363	-56.1173957879915	-96.3040615678047	arsenic1	norm.n
0.365200221199078	0.588633374817797	1.02317664239718	3440.83840836817	4536.46061571512	arsenic1	PC1
0.148925605269462	0.148055773683438	0.846103514207652	890.213365055968	2128.1056540508	arsenic1	PC2
0.459256592819165	0.153167027445466	0.180343758987113	620.446713318953	673.243865938306	arsenic1	PC3
0.486614365891617	0.0298725825891203	0.031516033701287	-43.7810904779016	-44.9692834430617	arsenic2	mean.norm.EXT
0.236278416681931	5.96547975477298e-05	0.000192821913552103	-17.8176578800755	-32.0336275547772	arsenic2	mean.norm.yellow
0.349044598380876	150.390457693526	280.472699596822	-13.7675223041949	-18.8014327464417	arsenic2	mean.TOF
0.519013629075987	555.583473128015	514.876803834526	-47.8224085600892	-46.0371520533332	arsenic2	norm.n
0.42900115985141	0.867282162780815	1.15434911458265	766.7070724475	884.540758148741	arsenic2	PC1
0.449198583115684	0.379621589455399	0.465487018907317	-1359.1573827423	-1505.04014391477	arsenic2	PC2
0.147853832853542	0.0617136241651399	0.355682549975784	-3403.49854103339	-8170.83278046441	arsenic2	PC3
0.188355936851039	0.0111413799333263	0.0480092904388925	-10.9107839082272	-22.6490038684719	arsenic3	mean.norm.EXT
0.504358489576609	0.000375425256093426	0.000368936668712445	-47.1515992310965	-46.7423556331983	arsenic3	mean.norm.yellow
0.130986257001156	46.533517983291	308.721445771268	-4.99543630662054	-12.8668987118274	arsenic3	mean.TOF
0.645461080443758	504.014466641577	276.845110972404	-28.5828054328889	-21.1836982316508	arsenic3	norm.n
0.367228631429837	0.674641950234048	1.16247501857982	594.889630149113	780.893021144696	arsenic3	PC1
0.380239169924938	0.456978552132872	0.744840166919884	-1503.96757895048	-1920.09231755823	arsenic3	PC2
0.535249847053834	0.252645083127403	0.21936828505576	-20884.4501726146	-19460.5244814271	arsenic3	PC3
0.0801832222243396	0.00810381439361487	0.0929623958285401	-9.61260813509218	-32.5574325489775	arsenic4	mean.norm.EXT
0.228984751742023	0.000743214413171111	0.00250247949228346	636.811825223687	1168.52853268605	arsenic4	mean.norm.yellow
0.0451777139237243	37.4744569059111	792.015432050865	-4.62481036818594	-21.2614597223531	arsenic4	mean.TOF
0.963444061299268	286.258117008002	10.8614859941318	-15.8120836133215	-3.08002910458739	arsenic4	norm.n
0.28821802726868	0.537942372739311	1.32850011816649	494.970281514445	777.843175705817	arsenic4	PC1
0.739284293696863	0.733139415284569	0.258548655915259	-1559.03785523403	-925.836968898085	arsenic4	PC2
0.0921202627939371	0.0521538936239023	0.513996180660675	275.701014789587	865.515684083067	arsenic4	PC3
0	0	0.0458369691568592	0	3013.4022771819	Water	mean.norm.EXT
0	0	0.000333049141785067	0	-3133.01601749952	Water	mean.norm.yellow
0	0	118.451062138611	0	1654.29973229242	Water	mean.TOF
0	0	1242.06316151331	0	45864.0693824933	Water	norm.n
0	0	1.83374126800058	0	982.850261713972	Water	PC1
0	0	0.665055659344189	0	1002.07034352137	Water	PC2
0	0	0.385982360606172	0	-1764.20960705794	Water	PC3
