trait	H2_realized	h2_realized	H2_expectation	h2_expectation	QTL_VE	QTL_II	QTL_II_VE
mean.norm.EXT	0.403409747714013	0.344251626796913	0.61873620023824	0.448057229993157	0.479486047420025	TRUE	0.373916874259771
mean.norm.yellow	0.25084666051827	0.233492388232054	0.424814517016789	0.354870456124867	0.323360352278863	TRUE	0.267982005170717
mean.TOF	0.248425093016959	0.23954138074571	0.438380748822152	0.373032318017858	0.380368580931142	TRUE	0.27681533627193
norm.n	0.169724791620632	0.129480381772864	0.359950997749182	0.189728198323609	0.181888718285906	TRUE	0.0784992668219229
PC1	0.350722783308535	0.321037823444017	0.557613154720035	0.443166811398685	0.400838322442704	TRUE	0.353565333003545
PC2	0.132214063487506	0.106604254295633	0.267201010722975	0.180843359504226	0.0643986132412484	FALSE	NA
PC3	0.0509076532928642	0.0351539450287669	0.123625799103024	0.0638896900133017	0.0517561466166618	FALSE	NA
