Trait	PC	loading
mean.norm.EXT	PC1	0.546018048009436
mean.norm.yellow	PC1	0.549563483288877
mean.TOF	PC1	0.514172700771158
norm.n	PC1	0.368063449509801
mean.norm.EXT	PC2	-0.30244734387931
mean.norm.yellow	PC2	-0.0396555924058501
mean.TOF	PC2	-0.286561235798184
norm.n	PC2	0.908204655520499
mean.norm.EXT	PC3	0.258730506401653
mean.norm.yellow	PC3	0.559086823018181
mean.TOF	PC3	-0.776167968165988
norm.n	PC3	-0.134326968914153
