Strain	Condition	Trait	Value
DL238	arsenic3	mean.norm.EXT	-0.912046110769186
DL238	arsenic3	mean.norm.EXT	-1.15244381246424
DL238	arsenic3	mean.norm.EXT	-1.05051298368301
DL238	arsenic3	mean.norm.EXT	-0.569817478172595
DL238	arsenic3	mean.norm.EXT	-1.16520522509983
DL238	arsenic3	mean.norm.EXT	-1.00479771704925
DL238	arsenic3	mean.norm.EXT	-0.0820444813002532
DL238	arsenic3	mean.norm.EXT	-0.577985716207839
DL238	arsenic3	mean.norm.EXT	-1.00572635964421
DL238	arsenic3	mean.norm.EXT	-0.138115197353444
DL238	arsenic3	mean.norm.EXT	-0.411488259336226
DL238	arsenic3	mean.norm.EXT	-0.739528283884484
JU775	arsenic3	mean.norm.EXT	-0.944087542044873
JU775	arsenic3	mean.norm.EXT	-0.984492164280361
JU775	arsenic3	mean.norm.EXT	-0.913669053827325
JU775	arsenic3	mean.norm.EXT	-0.918856891179435
JU775	arsenic3	mean.norm.EXT	-0.666459797626989
JU775	arsenic3	mean.norm.EXT	-0.583062116216234
JU775	arsenic3	mean.norm.EXT	-0.473704027080905
JU775	arsenic3	mean.norm.EXT	-0.524589229144806
JU775	arsenic3	mean.norm.EXT	-0.827956636108488
JU775	arsenic3	mean.norm.EXT	-1.04507476862564
JU775	arsenic3	mean.norm.EXT	-1.25587375337585
JU775	arsenic3	mean.norm.EXT	-1.0047706709488
JU775	arsenic3	mean.norm.EXT	-0.857949161685587
JU775	arsenic3	mean.norm.EXT	-0.944123915791171
JU775	arsenic3	mean.norm.EXT	-0.907003274750197
JU775	arsenic3	mean.norm.EXT	-0.818240952773782
JU775	arsenic3	mean.norm.EXT	-0.779861694308123
JU775	arsenic3	mean.norm.EXT	-0.958840489341588
JU775	arsenic3	mean.norm.EXT	-0.639818883817476
JU775	arsenic3	mean.norm.EXT	-0.994113438727318
N2	arsenic3	mean.norm.EXT	-1.34271611865674
N2	arsenic3	mean.norm.EXT	-1.01713941765486
N2	arsenic3	mean.norm.EXT	-0.989706578268018
N2	arsenic3	mean.norm.EXT	-1.10061834128976
N2	arsenic3	mean.norm.EXT	-1.09149018091681
N2	arsenic3	mean.norm.EXT	-0.536273253399985
N2	arsenic3	mean.norm.EXT	-0.873425086147984
N2	arsenic3	mean.norm.EXT	-1.19095927051634
N2	arsenic3	mean.norm.EXT	-1.28257620692803
N2	arsenic3	mean.norm.EXT	-1.25350559234689
N2	arsenic3	mean.norm.EXT	-1.13564106642899
N2	arsenic3	mean.norm.EXT	-1.19508898678446
N2	arsenic3	mean.norm.EXT	-1.3029309533683
N2	arsenic3	mean.norm.EXT	-0.739862375289309
N2	arsenic3	mean.norm.EXT	-0.862441973966908
N2	arsenic3	mean.norm.EXT	-1.10138456583782
N2	arsenic3	mean.norm.EXT	-1.23511432488126
N2	arsenic3	mean.norm.EXT	-0.76742815996014
N2	arsenic3	mean.norm.EXT	-1.22073237031973
N2	arsenic3	mean.norm.EXT	-0.969368766255356
CB4856	arsenic3	mean.norm.yellow	-0.0581182895504391
CB4856	arsenic3	mean.norm.yellow	-0.0770724543188046
CB4856	arsenic3	mean.norm.yellow	-0.0786108559017446
CB4856	arsenic3	mean.norm.yellow	-0.0941578572743193
CB4856	arsenic3	mean.norm.yellow	-0.0522606077126231
CB4856	arsenic3	mean.norm.yellow	-0.0633931269024096
CB4856	arsenic3	mean.norm.yellow	0.00868670199547447
CB4856	arsenic3	mean.norm.yellow	0.0143204472009598
CB4856	arsenic3	mean.norm.yellow	-0.0432135987420511
CB4856	arsenic3	mean.norm.yellow	-0.0630143290023885
CB4856	arsenic3	mean.norm.yellow	-0.0801403676466022
CB4856	arsenic3	mean.norm.yellow	-0.0818320885891491
CB4856	arsenic3	mean.norm.yellow	-0.0707203524475379
CB4856	arsenic3	mean.norm.yellow	-0.0520113208023772
CB4856	arsenic3	mean.norm.yellow	-0.0812656236158432
CB4856	arsenic3	mean.norm.yellow	-0.0549566930188225
CB4856	arsenic3	mean.norm.yellow	-0.0785228198815865
CB4856	arsenic3	mean.norm.yellow	-0.0700228726634556
CB4856	arsenic3	mean.norm.yellow	-0.0711948686142263
CB4856	arsenic3	mean.norm.yellow	-0.055322630283296
DL238	arsenic3	mean.norm.yellow	-0.0441213525171038
DL238	arsenic3	mean.norm.yellow	-0.0108997874574977
DL238	arsenic3	mean.norm.yellow	-0.0820389080126244
DL238	arsenic3	mean.norm.yellow	-0.0442005861236199
DL238	arsenic3	mean.norm.yellow	-0.028587086078086
DL238	arsenic3	mean.norm.yellow	-0.0534231342178605
DL238	arsenic3	mean.norm.yellow	-0.042368349819288
DL238	arsenic3	mean.norm.yellow	-0.04561388259411
DL238	arsenic3	mean.norm.yellow	-0.0265915714627909
DL238	arsenic3	mean.norm.yellow	-0.0632819041269342
DL238	arsenic3	mean.norm.yellow	-0.084850284307967
DL238	arsenic3	mean.norm.yellow	0.024013872781554
DL238	arsenic3	mean.norm.yellow	-0.0403320858370625
DL238	arsenic3	mean.norm.yellow	-0.06208902705987
DL238	arsenic3	mean.norm.yellow	0.00619783271629046
DL238	arsenic3	mean.norm.yellow	-0.0187989302507279
DL238	arsenic3	mean.norm.yellow	-0.0408010028880261
DL238	arsenic3	mean.norm.yellow	0.0166146535068513
DL238	arsenic3	mean.norm.yellow	-0.0479586438725146
DL238	arsenic3	mean.norm.yellow	-0.0347920909158912
JU775	arsenic3	mean.norm.yellow	-0.0290966189148534
JU775	arsenic3	mean.norm.yellow	-0.011043013248425
JU775	arsenic3	mean.norm.yellow	-0.0184878267618323
JU775	arsenic3	mean.norm.yellow	-0.0477591864835478
JU775	arsenic3	mean.norm.yellow	0.0133410721242724
JU775	arsenic3	mean.norm.yellow	0.0155401762834102
JU775	arsenic3	mean.norm.yellow	0.0165129222040183
JU775	arsenic3	mean.norm.yellow	-0.0212182726965416
JU775	arsenic3	mean.norm.yellow	-0.0177722274937491
JU775	arsenic3	mean.norm.yellow	-0.011506247810531
JU775	arsenic3	mean.norm.yellow	-0.0330014766881303
JU775	arsenic3	mean.norm.yellow	-0.0792788974488413
JU775	arsenic3	mean.norm.yellow	-0.0280239558284725
JU775	arsenic3	mean.norm.yellow	-0.00133924748996075
JU775	arsenic3	mean.norm.yellow	-0.00744299612833449
JU775	arsenic3	mean.norm.yellow	-0.0441091313901027
JU775	arsenic3	mean.norm.yellow	-0.0326788589410006
JU775	arsenic3	mean.norm.yellow	-0.0278676838371117
JU775	arsenic3	mean.norm.yellow	-0.0276101900791959
JU775	arsenic3	mean.norm.yellow	-0.0641062467167348
N2	arsenic3	mean.norm.yellow	-0.0544077057788696
N2	arsenic3	mean.norm.yellow	-0.0432344881469229
N2	arsenic3	mean.norm.yellow	-0.0544645205176818
N2	arsenic3	mean.norm.yellow	-0.0325911436553029
N2	arsenic3	mean.norm.yellow	-0.0162228560479578
N2	arsenic3	mean.norm.yellow	-0.0196726289011142
N2	arsenic3	mean.norm.yellow	-0.0445907427314278
N2	arsenic3	mean.norm.yellow	-0.0407536879495018
N2	arsenic3	mean.norm.yellow	-0.0438491452096886
N2	arsenic3	mean.norm.yellow	-0.014040183322043
N2	arsenic3	mean.norm.yellow	-0.0503677259892669
N2	arsenic3	mean.norm.yellow	-0.0287741122969025
N2	arsenic3	mean.norm.yellow	-0.0438160556155907
N2	arsenic3	mean.norm.yellow	-0.0294566732425065
N2	arsenic3	mean.norm.yellow	-0.0415246393287145
N2	arsenic3	mean.norm.yellow	-0.0299328354455344
N2	arsenic3	mean.norm.yellow	-0.0507103691905292
N2	arsenic3	mean.norm.yellow	-0.0460065495897396
N2	arsenic3	mean.norm.yellow	-0.0561349758467634
N2	arsenic3	mean.norm.yellow	-0.0310628415123913
CB4856	arsenic3	mean.TOF	-101.580376698031
CB4856	arsenic3	mean.TOF	-132.973692206052
CB4856	arsenic3	mean.TOF	-138.867517335171
CB4856	arsenic3	mean.TOF	-155.616434586331
CB4856	arsenic3	mean.TOF	-118.366320753975
CB4856	arsenic3	mean.TOF	-104.856870204524
CB4856	arsenic3	mean.TOF	-86.4201000181889
CB4856	arsenic3	mean.TOF	-46.1729604300882
CB4856	arsenic3	mean.TOF	-139.428599527833
CB4856	arsenic3	mean.TOF	-107.416406884061
CB4856	arsenic3	mean.TOF	-133.024245619807
CB4856	arsenic3	mean.TOF	-151.559530303046
CB4856	arsenic3	mean.TOF	-146.970725390434
CB4856	arsenic3	mean.TOF	-107.190951837177
CB4856	arsenic3	mean.TOF	-145.314013061667
CB4856	arsenic3	mean.TOF	-137.947548415203
CB4856	arsenic3	mean.TOF	-140.977660860409
CB4856	arsenic3	mean.TOF	-129.563937873697
CB4856	arsenic3	mean.TOF	-132.454478177946
CB4856	arsenic3	mean.TOF	-109.423558516213
DL238	arsenic3	mean.TOF	-147.312403588899
DL238	arsenic3	mean.TOF	-156.330816287311
DL238	arsenic3	mean.TOF	-133.35258843921
DL238	arsenic3	mean.TOF	-146.448316287311
DL238	arsenic3	mean.TOF	-142.220340096835
DL238	arsenic3	mean.TOF	-141.61841122402
DL238	arsenic3	mean.TOF	-100.053551330046
DL238	arsenic3	mean.TOF	-134.571422347917
DL238	arsenic3	mean.TOF	-117.010816287311
DL238	arsenic3	mean.TOF	-140.175199848955
DL238	arsenic3	mean.TOF	-127.055064074922
DL238	arsenic3	mean.TOF	-158.705731541549
DL238	arsenic3	mean.TOF	-154.730816287311
DL238	arsenic3	mean.TOF	-147.326605760996
DL238	arsenic3	mean.TOF	-49.7380890145841
DL238	arsenic3	mean.TOF	-129.191667351141
DL238	arsenic3	mean.TOF	-133.083543560039
DL238	arsenic3	mean.TOF	-114.010816287311
DL238	arsenic3	mean.TOF	-100.910816287311
DL238	arsenic3	mean.TOF	-143.882611159106
JU775	arsenic3	mean.TOF	-142.225786368287
JU775	arsenic3	mean.TOF	-161.488683710653
JU775	arsenic3	mean.TOF	-134.774029427887
JU775	arsenic3	mean.TOF	-100.479911780829
JU775	arsenic3	mean.TOF	-145.479911780829
JU775	arsenic3	mean.TOF	-140.734813741613
JU775	arsenic3	mean.TOF	-147.365328447495
JU775	arsenic3	mean.TOF	-85.0534107456319
JU775	arsenic3	mean.TOF	-140.886161780829
JU775	arsenic3	mean.TOF	-128.183615484532
JU775	arsenic3	mean.TOF	-171.498691123552
JU775	arsenic3	mean.TOF	-105.621988283561
JU775	arsenic3	mean.TOF	-148.178578447495
JU775	arsenic3	mean.TOF	-141.107743496039
JU775	arsenic3	mean.TOF	-140.771578447495
JU775	arsenic3	mean.TOF	-102.313245114162
JU775	arsenic3	mean.TOF	-138.594578447495
JU775	arsenic3	mean.TOF	-153.551983852901
JU775	arsenic3	mean.TOF	-143.952548596749
JU775	arsenic3	mean.TOF	-108.587754918083
N2	arsenic3	mean.TOF	-165.797780339019
N2	arsenic3	mean.TOF	-138.563148304387
N2	arsenic3	mean.TOF	-140.153624494863
N2	arsenic3	mean.TOF	-157.506969883651
N2	arsenic3	mean.TOF	-158.259043214075
N2	arsenic3	mean.TOF	-122.157706127516
N2	arsenic3	mean.TOF	-129.880831046273
N2	arsenic3	mean.TOF	-155.166322907561
N2	arsenic3	mean.TOF	-156.400931286432
N2	arsenic3	mean.TOF	-146.745549960701
N2	arsenic3	mean.TOF	-145.760767352006
N2	arsenic3	mean.TOF	-149.71272813632
N2	arsenic3	mean.TOF	-172.895382736621
N2	arsenic3	mean.TOF	-133.512521737971
N2	arsenic3	mean.TOF	-125.516193708595
N2	arsenic3	mean.TOF	-159.618459659698
N2	arsenic3	mean.TOF	-154.35915444878
N2	arsenic3	mean.TOF	-139.713993158457
N2	arsenic3	mean.TOF	-144.657482680473
N2	arsenic3	mean.TOF	-134.661234641725
CB4856	arsenic3	norm.n	-34.1140350877193
CB4856	arsenic3	norm.n	-45.1140350877193
CB4856	arsenic3	norm.n	-29.4473684210526
CB4856	arsenic3	norm.n	-33.1140350877193
CB4856	arsenic3	norm.n	0.885964912280699
CB4856	arsenic3	norm.n	-49.1140350877193
CB4856	arsenic3	norm.n	-99.780701754386
CB4856	arsenic3	norm.n	-101.114035087719
CB4856	arsenic3	norm.n	-63.1140350877193
CB4856	arsenic3	norm.n	-21.1140350877193
CB4856	arsenic3	norm.n	-50.1140350877193
CB4856	arsenic3	norm.n	-68.780701754386
CB4856	arsenic3	norm.n	-58.780701754386
CB4856	arsenic3	norm.n	-42.1140350877193
CB4856	arsenic3	norm.n	-82.4473684210526
CB4856	arsenic3	norm.n	-74.4473684210526
CB4856	arsenic3	norm.n	-27.9473684210526
CB4856	arsenic3	norm.n	-63.1140350877193
CB4856	arsenic3	norm.n	-78.780701754386
CB4856	arsenic3	norm.n	-78.1140350877193
DL238	arsenic3	norm.n	-112.043859649123
DL238	arsenic3	norm.n	-116.377192982456
DL238	arsenic3	norm.n	-54.0438596491228
DL238	arsenic3	norm.n	-111.710526315789
DL238	arsenic3	norm.n	-98.0438596491228
DL238	arsenic3	norm.n	-80.3771929824561
DL238	arsenic3	norm.n	-94.0438596491228
DL238	arsenic3	norm.n	-100.043859649123
DL238	arsenic3	norm.n	-123.043859649123
DL238	arsenic3	norm.n	-60.0438596491228
DL238	arsenic3	norm.n	-95.3771929824561
DL238	arsenic3	norm.n	-113.377192982456
DL238	arsenic3	norm.n	-91.3771929824561
DL238	arsenic3	norm.n	-114.043859649123
DL238	arsenic3	norm.n	-129.377192982456
DL238	arsenic3	norm.n	-101.710526315789
DL238	arsenic3	norm.n	-114.710526315789
DL238	arsenic3	norm.n	-127.710526315789
DL238	arsenic3	norm.n	-106.377192982456
DL238	arsenic3	norm.n	-107.043859649123
JU775	arsenic3	norm.n	-81.6491228070175
JU775	arsenic3	norm.n	-89.9824561403509
JU775	arsenic3	norm.n	-98.3157894736842
JU775	arsenic3	norm.n	-83.8157894736842
JU775	arsenic3	norm.n	-103.315789473684
JU775	arsenic3	norm.n	-106.815789473684
JU775	arsenic3	norm.n	-104.649122807018
JU775	arsenic3	norm.n	-61.6491228070175
JU775	arsenic3	norm.n	-67.3157894736842
JU775	arsenic3	norm.n	-101.815789473684
JU775	arsenic3	norm.n	-91.6491228070175
JU775	arsenic3	norm.n	-74.6491228070175
JU775	arsenic3	norm.n	-73.6491228070175
JU775	arsenic3	norm.n	-80.9824561403509
JU775	arsenic3	norm.n	-107.315789473684
JU775	arsenic3	norm.n	-59.3157894736842
JU775	arsenic3	norm.n	-73.6491228070175
JU775	arsenic3	norm.n	-90.6491228070175
JU775	arsenic3	norm.n	-92.9824561403509
JU775	arsenic3	norm.n	-92.6491228070175
N2	arsenic3	norm.n	-68.25
N2	arsenic3	norm.n	-58.9166666666667
N2	arsenic3	norm.n	-82.25
N2	arsenic3	norm.n	-67.5833333333333
N2	arsenic3	norm.n	-64.9166666666667
N2	arsenic3	norm.n	-61.25
N2	arsenic3	norm.n	-41.5833333333333
N2	arsenic3	norm.n	-63.9166666666667
N2	arsenic3	norm.n	-73.5833333333333
N2	arsenic3	norm.n	-78.5833333333333
N2	arsenic3	norm.n	-53.9166666666667
N2	arsenic3	norm.n	-59.9166666666667
N2	arsenic3	norm.n	-50.5833333333333
N2	arsenic3	norm.n	-55.9166666666667
N2	arsenic3	norm.n	-50.9166666666667
N2	arsenic3	norm.n	-67.9166666666667
N2	arsenic3	norm.n	-83.5833333333333
N2	arsenic3	norm.n	-83.5833333333333
N2	arsenic3	norm.n	-48.25
N2	arsenic3	norm.n	-58.25
CB4856	arsenic3	PC1	-0.096573332485632
CB4856	arsenic3	PC1	1.75759351856688
CB4856	arsenic3	PC1	2.51434245129789
CB4856	arsenic3	PC1	3.45431247955082
CB4856	arsenic3	PC1	0.869631746046419
CB4856	arsenic3	PC1	0.0502311266207187
CB4856	arsenic3	PC1	-2.70699703295783
CB4856	arsenic3	PC1	-4.51077665995509
CB4856	arsenic3	PC1	0.435124838778016
CB4856	arsenic3	PC1	0.522990392342585
CB4856	arsenic3	PC1	1.76188405159119
CB4856	arsenic3	PC1	1.95745885913498
CB4856	arsenic3	PC1	1.49390466144109
CB4856	arsenic3	PC1	0.0247613678557332
CB4856	arsenic3	PC1	1.84318054371694
CB4856	arsenic3	PC1	0.935641374735801
CB4856	arsenic3	PC1	1.96948106116378
CB4856	arsenic3	PC1	1.24784767393925
CB4856	arsenic3	PC1	0.760288564342398
CB4856	arsenic3	PC1	0.015970757338106
DL238	arsenic3	PC1	0.380399257642962
DL238	arsenic3	PC1	-0.790577859841333
DL238	arsenic3	PC1	1.4974960892062
DL238	arsenic3	PC1	-0.46246667919891
DL238	arsenic3	PC1	-0.012896672608621
DL238	arsenic3	PC1	0.821461736245026
DL238	arsenic3	PC1	-1.54504719332413
DL238	arsenic3	PC1	-0.381415362241792
DL238	arsenic3	PC1	-1.33147333838224
DL238	arsenic3	PC1	1.31321082526692
DL238	arsenic3	PC1	0.71750970381348
DL238	arsenic3	PC1	-2.18648987720769
DL238	arsenic3	PC1	0.622756900284137
DL238	arsenic3	PC1	0.210095794693911
DL238	arsenic3	PC1	-4.95774838168406
DL238	arsenic3	PC1	-1.63793163054575
DL238	arsenic3	PC1	-0.451017063858627
DL238	arsenic3	PC1	-3.9401928450099
DL238	arsenic3	PC1	-1.97290016125922
DL238	arsenic3	PC1	-0.826231619672445
JU775	arsenic3	PC1	-0.114085103960858
JU775	arsenic3	PC1	-0.194521560560101
JU775	arsenic3	PC1	-0.783039226941116
JU775	arsenic3	PC1	-0.537616286640603
JU775	arsenic3	PC1	-1.82974555551088
JU775	arsenic3	PC1	-2.18613617905185
JU775	arsenic3	PC1	-2.29064978486588
JU775	arsenic3	PC1	-1.78412753894169
JU775	arsenic3	PC1	-0.367843823250446
JU775	arsenic3	PC1	-0.807726676172632
JU775	arsenic3	PC1	0.948154209408213
JU775	arsenic3	PC1	0.494170567609064
JU775	arsenic3	PC1	-0.086882121605076
JU775	arsenic3	PC1	-0.661760008970675
JU775	arsenic3	PC1	-1.05954698619383
JU775	arsenic3	PC1	-0.389292798766414
JU775	arsenic3	PC1	-0.322078374167782
JU775	arsenic3	PC1	-0.0651633886819047
JU775	arsenic3	PC1	-0.945481295073569
JU775	arsenic3	PC1	-0.0694761280609872
N2	arsenic3	PC1	1.83756481025635
N2	arsenic3	PC1	0.627789369502299
N2	arsenic3	PC1	0.431708680864295
N2	arsenic3	PC1	0.772071993338014
N2	arsenic3	PC1	0.49060369446873
N2	arsenic3	PC1	-1.16288816436522
N2	arsenic3	PC1	0.488774170035286
N2	arsenic3	PC1	1.14354486447091
N2	arsenic3	PC1	1.26005545269342
N2	arsenic3	PC1	0.37508085766787
N2	arsenic3	PC1	1.22022212666583
N2	arsenic3	PC1	0.893768461967011
N2	arsenic3	PC1	1.95566917790475
N2	arsenic3	PC1	-0.263488313011242
N2	arsenic3	PC1	0.179720479528458
N2	arsenic3	PC1	0.751790732685586
N2	arsenic3	PC1	1.09463843431555
N2	arsenic3	PC1	-0.233499810532932
N2	arsenic3	PC1	1.58746074381934
N2	arsenic3	PC1	0.235420232742759
CB4856	arsenic3	PC2	2.35171163729102
CB4856	arsenic3	PC2	0.961518791779314
CB4856	arsenic3	PC2	0.953627976516391
CB4856	arsenic3	PC2	0.416949948041663
CB4856	arsenic3	PC2	2.35973854984709
CB4856	arsenic3	PC2	1.92802272783402
CB4856	arsenic3	PC2	0.547057229696585
CB4856	arsenic3	PC2	2.08502500403865
CB4856	arsenic3	PC2	0.140585434214366
CB4856	arsenic3	PC2	2.40999181658057
CB4856	arsenic3	PC2	0.893287131461551
CB4856	arsenic3	PC2	-0.0768017209786591
CB4856	arsenic3	PC2	0.247913308105299
CB4856	arsenic3	PC2	1.8164089457914
CB4856	arsenic3	PC2	-0.267760574530643
CB4856	arsenic3	PC2	-0.0851263005754225
CB4856	arsenic3	PC2	1.18452778889331
CB4856	arsenic3	PC2	0.615973393710842
CB4856	arsenic3	PC2	0.368896733932202
CB4856	arsenic3	PC2	0.872643021968285
DL238	arsenic3	PC2	-1.3145543888706
DL238	arsenic3	PC2	-1.87624586060803
DL238	arsenic3	PC2	0.939398317431682
DL238	arsenic3	PC2	-0.913021665824159
DL238	arsenic3	PC2	-1.00211247679608
DL238	arsenic3	PC2	-0.31280885730235
DL238	arsenic3	PC2	1.04597393014406
DL238	arsenic3	PC2	-0.333366102324389
DL238	arsenic3	PC2	-0.573646448662751
DL238	arsenic3	PC2	0.277186904060279
DL238	arsenic3	PC2	0.372222392335102
DL238	arsenic3	PC2	-2.0294085906716
DL238	arsenic3	PC2	-1.11656437649341
DL238	arsenic3	PC2	-0.884538497634123
DL238	arsenic3	PC2	1.62285846167437
DL238	arsenic3	PC2	-0.31456792852858
DL238	arsenic3	PC2	-0.775094300071353
DL238	arsenic3	PC2	-0.467484022036159
DL238	arsenic3	PC2	1.00919868178421
DL238	arsenic3	PC2	-0.783195210511906
JU775	arsenic3	PC2	-0.503074569088373
JU775	arsenic3	PC2	-1.53867534265808
JU775	arsenic3	PC2	-0.732383778130734
JU775	arsenic3	PC2	0.991831500831568
JU775	arsenic3	PC2	-1.37315815533145
JU775	arsenic3	PC2	-1.25382342439967
JU775	arsenic3	PC2	-1.32098355992722
JU775	arsenic3	PC2	1.88307796782133
JU775	arsenic3	PC2	-0.231815264453862
JU775	arsenic3	PC2	-0.826478175126782
JU775	arsenic3	PC2	-1.81249880158481
JU775	arsenic3	PC2	1.38721473574142
JU775	arsenic3	PC2	-0.457619456107747
JU775	arsenic3	PC2	-0.851037344911159
JU775	arsenic3	PC2	-1.24071390191541
JU775	arsenic3	PC2	1.46397485510285
JU775	arsenic3	PC2	-0.0317776156622146
JU775	arsenic3	PC2	-1.05129867556462
JU775	arsenic3	PC2	-0.515942355479345
JU775	arsenic3	PC2	0.736516399961019
N2	arsenic3	PC2	-0.95567151913407
N2	arsenic3	PC2	0.189140560841237
N2	arsenic3	PC2	-0.134981216262611
N2	arsenic3	PC2	-0.778411063427501
N2	arsenic3	PC2	-0.972283024068642
N2	arsenic3	PC2	0.748025820171385
N2	arsenic3	PC2	0.94547093344959
N2	arsenic3	PC2	-0.604175191802806
N2	arsenic3	PC2	-0.874008209745908
N2	arsenic3	PC2	-1.08068090761879
N2	arsenic3	PC2	0.0634672067897042
N2	arsenic3	PC2	-0.535999681011522
N2	arsenic3	PC2	-0.931761581327846
N2	arsenic3	PC2	0.462775899994527
N2	arsenic3	PC2	0.858004617952252
N2	arsenic3	PC2	-0.886682277303186
N2	arsenic3	PC2	-0.868969797742113
N2	arsenic3	PC2	-0.0608116929911172
N2	arsenic3	PC2	0.211121811068513
N2	arsenic3	PC2	0.190673468340158
CB4856	arsenic3	PC3	-0.581023943283968
CB4856	arsenic3	PC3	0.116903034408114
CB4856	arsenic3	PC3	-0.21840787331033
CB4856	arsenic3	PC3	0.137683681299648
CB4856	arsenic3	PC3	-1.7929156148197
CB4856	arsenic3	PC3	-0.0205300891406993
CB4856	arsenic3	PC3	0.0150470793679096
CB4856	arsenic3	PC3	0.0987963151589244
CB4856	arsenic3	PC3	-0.360529851705978
CB4856	arsenic3	PC3	-0.83076948601421
CB4856	arsenic3	PC3	0.325531152747891
CB4856	arsenic3	PC3	0.681585406361987
CB4856	arsenic3	PC3	0.116037496801308
CB4856	arsenic3	PC3	-0.463675933104655
CB4856	arsenic3	PC3	1.20578609457837
CB4856	arsenic3	PC3	0.388627203023401
CB4856	arsenic3	PC3	-0.509442864393422
CB4856	arsenic3	PC3	0.496169001532507
CB4856	arsenic3	PC3	0.797677705372779
CB4856	arsenic3	PC3	0.729457535163512
DL238	arsenic3	PC3	1.10242268919849
DL238	arsenic3	PC3	0.186460726191881
DL238	arsenic3	PC3	0.378916235154871
DL238	arsenic3	PC3	0.800771404492978
DL238	arsenic3	PC3	0.378783248120063
DL238	arsenic3	PC3	0.451537116718763
DL238	arsenic3	PC3	0.689264546381756
DL238	arsenic3	PC3	0.692252562846752
DL238	arsenic3	PC3	1.18467562552294
DL238	arsenic3	PC3	0.120650178324061
DL238	arsenic3	PC3	1.62457095545759
DL238	arsenic3	PC3	-0.950024037720702
DL238	arsenic3	PC3	0.310354955366397
DL238	arsenic3	PC3	1.35341909974417
DL238	arsenic3	PC3	0.915520617549438
DL238	arsenic3	PC3	0.0226806487719519
DL238	arsenic3	PC3	1.11568016993268
DL238	arsenic3	PC3	-0.151618852611215
DL238	arsenic3	PC3	1.0021248048383
DL238	arsenic3	PC3	0.43298538996405
JU775	arsenic3	PC3	-0.195036859547876
JU775	arsenic3	PC3	-0.568411502970605
JU775	arsenic3	PC3	0.110817903796565
JU775	arsenic3	PC3	0.784593761836078
JU775	arsenic3	PC3	-0.750982531064065
JU775	arsenic3	PC3	-0.703954632722575
JU775	arsenic3	PC3	-0.955435560646646
JU775	arsenic3	PC3	-0.473987115788756
JU775	arsenic3	PC3	-0.893190514172315
JU775	arsenic3	PC3	0.249015221858959
JU775	arsenic3	PC3	0.013838174974926
JU775	arsenic3	PC3	1.19255083528855
JU775	arsenic3	PC3	-0.580073113064168
JU775	arsenic3	PC3	-0.777897464076559
JU775	arsenic3	PC3	0.0403560359532112
JU775	arsenic3	PC3	-0.0592664349806792
JU775	arsenic3	PC3	-0.417044170075923
JU775	arsenic3	PC3	-0.114234002188009
JU775	arsenic3	PC3	-0.177146834743466
JU775	arsenic3	PC3	1.31723527602067
N2	arsenic3	PC3	-0.0321347059592511
N2	arsenic3	PC3	-0.412246138295147
N2	arsenic3	PC3	0.413660372609705
N2	arsenic3	PC3	-0.584219884605891
N2	arsenic3	PC3	-1.01539345249784
N2	arsenic3	PC3	-0.997516567085742
N2	arsenic3	PC3	-0.851661252641325
N2	arsenic3	PC3	-0.412402816904875
N2	arsenic3	PC3	-0.0304348928896546
N2	arsenic3	PC3	-0.412188735736611
N2	arsenic3	PC3	-0.402110235124185
N2	arsenic3	PC3	-0.696005075138806
N2	arsenic3	PC3	-0.857584272279189
N2	arsenic3	PC3	-0.929907513068224
N2	arsenic3	PC3	-0.613136875485552
N2	arsenic3	PC3	-0.657928914630144
N2	arsenic3	PC3	0.374513936860855
N2	arsenic3	PC3	0.106605350085481
N2	arsenic3	PC3	-0.35501810543703
N2	arsenic3	PC3	-0.670070829752472
CB4856	arsenic4	mean.norm.EXT	-0.78144004265472
CB4856	arsenic4	mean.norm.EXT	-1.10105791814092
CB4856	arsenic4	mean.norm.EXT	-1.44310322995169
CB4856	arsenic4	mean.norm.EXT	-0.779541609672796
CB4856	arsenic4	mean.norm.EXT	-1.23595709373141
CB4856	arsenic4	mean.norm.EXT	0.0547666651535184
CB4856	arsenic4	mean.norm.EXT	-0.927284442532192
CB4856	arsenic4	mean.norm.EXT	-0.680326682954753
CB4856	arsenic4	mean.norm.EXT	-1.4602537272121
CB4856	arsenic4	mean.norm.EXT	-1.52936556191999
CB4856	arsenic4	mean.norm.EXT	-1.14102773393837
CB4856	arsenic4	mean.norm.EXT	-1.27086888551584
CB4856	arsenic4	mean.norm.EXT	-0.769551037122114
CB4856	arsenic4	mean.norm.EXT	-1.46767351200977
CB4856	arsenic4	mean.norm.EXT	-1.18567299690458
CB4856	arsenic4	mean.norm.EXT	-1.24504898805293
CB4856	arsenic4	mean.norm.EXT	-0.894351948228187
CB4856	arsenic4	mean.norm.EXT	-1.02242669120676
CB4856	arsenic4	mean.norm.EXT	-1.165448285728
CB4856	arsenic4	mean.norm.EXT	-0.565362390726235
DL238	arsenic4	mean.norm.EXT	-0.686038806265957
DL238	arsenic4	mean.norm.EXT	-0.944871648588164
DL238	arsenic4	mean.norm.EXT	-0.623134607551948
DL238	arsenic4	mean.norm.EXT	-1.00834629506861
DL238	arsenic4	mean.norm.EXT	-1.06091929634677
DL238	arsenic4	mean.norm.EXT	-0.514216550392395
DL238	arsenic4	mean.norm.EXT	-1.49684871031277
