Strain	Condition	Trait	Value
CB4856	arsenic1	PC1	-1.50168435253649
CB4856	arsenic1	PC1	-1.78558318503555
CB4856	arsenic1	PC1	-1.69866169595426
CB4856	arsenic1	PC1	-1.60374977262195
CB4856	arsenic1	PC1	-1.93130088552535
CB4856	arsenic1	PC1	-1.48066749715663
CB4856	arsenic1	PC1	-2.13295885261481
CB4856	arsenic1	PC1	-1.37431744998546
CB4856	arsenic1	PC1	-1.74855191843436
CB4856	arsenic1	PC1	-0.569391652179011
CB4856	arsenic1	PC1	-0.836825697720332
CB4856	arsenic1	PC1	-0.667222238127783
CB4856	arsenic1	PC1	-1.38553681522599
CB4856	arsenic1	PC1	-1.70529888108204
CB4856	arsenic1	PC1	-0.580690330882283
CB4856	arsenic1	PC1	-1.289389740223
CB4856	arsenic1	PC1	-2.66755534328469
CB4856	arsenic1	PC1	0.761174767047933
CB4856	arsenic1	PC1	-1.54729460344361
CB4856	arsenic1	PC1	-1.83201470593514
CB4856	arsenic2	PC1	-0.302619160182115
CB4856	arsenic2	PC1	-0.728030346181364
CB4856	arsenic2	PC1	-1.1983998294569
CB4856	arsenic2	PC1	-0.860232855906741
CB4856	arsenic2	PC1	-0.809648403727514
CB4856	arsenic2	PC1	-1.39195096326701
CB4856	arsenic2	PC1	-0.362386779304868
CB4856	arsenic2	PC1	-1.76610124097485
CB4856	arsenic2	PC1	-0.238302279219711
CB4856	arsenic2	PC1	-0.145531422297042
CB4856	arsenic2	PC1	-0.0204433383118506
CB4856	arsenic2	PC1	1.12582339702253
CB4856	arsenic2	PC1	-0.862200060201678
CB4856	arsenic2	PC1	0.398044561894718
CB4856	arsenic2	PC1	-0.551657384830866
CB4856	arsenic2	PC1	-0.181104412280982
CB4856	arsenic2	PC1	-1.85890818867974
CB4856	arsenic2	PC1	0.51534684254571
CB4856	arsenic2	PC1	-1.26061731396638
CB4856	arsenic2	PC1	-0.624361464904486
CB4856	arsenic3	PC1	0.504384738314085
CB4856	arsenic3	PC1	1.76284860024549
CB4856	arsenic3	PC1	1.90196516799269
CB4856	arsenic3	PC1	2.47320991595799
CB4856	arsenic3	PC1	0.433286340930646
CB4856	arsenic3	PC1	0.865499796353001
CB4856	arsenic3	PC1	0.567513201756335
CB4856	arsenic3	PC1	-0.492050169990967
CB4856	arsenic3	PC1	1.50634307226065
CB4856	arsenic3	PC1	0.597608404845575
CB4856	arsenic3	PC1	1.84904148899235
CB4856	arsenic3	PC1	2.3444097740943
CB4856	arsenic3	PC1	1.9213587297129
CB4856	arsenic3	PC1	0.77102879089451
CB4856	arsenic3	PC1	2.54357346181989
CB4856	arsenic3	PC1	1.96882383026738
CB4856	arsenic3	PC1	1.54988080726902
CB4856	arsenic3	PC1	1.84717124420317
CB4856	arsenic3	PC1	1.86342436820381
CB4856	arsenic3	PC1	1.46379725462088
CB4856	arsenic4	PC1	1.39323864504472
CB4856	arsenic4	PC1	2.22755639219972
CB4856	arsenic4	PC1	2.67655807055878
CB4856	arsenic4	PC1	1.65698772819649
CB4856	arsenic4	PC1	2.16430832261219
CB4856	arsenic4	PC1	-1.31356482684859
CB4856	arsenic4	PC1	1.57074344239788
CB4856	arsenic4	PC1	1.23149047853585
CB4856	arsenic4	PC1	2.75956152577255
CB4856	arsenic4	PC1	2.71568367444834
CB4856	arsenic4	PC1	2.29866372313248
CB4856	arsenic4	PC1	2.39168446266145
CB4856	arsenic4	PC1	1.44568941686488
CB4856	arsenic4	PC1	2.52911977335167
CB4856	arsenic4	PC1	2.53290245133643
CB4856	arsenic4	PC1	2.5797863969202
CB4856	arsenic4	PC1	1.49127749381508
CB4856	arsenic4	PC1	1.69804572350118
CB4856	arsenic4	PC1	2.20276928326481
CB4856	arsenic4	PC1	0.509248158737705
CB4856	Water	PC1	-0.76145635708317
CB4856	Water	PC1	-2.30394543445437
CB4856	Water	PC1	-2.35559316563505
CB4856	Water	PC1	-2.06993355402415
CB4856	Water	PC1	-2.02373529188587
CB4856	Water	PC1	-1.99455155383314
CB4856	Water	PC1	-2.29061953584315
CB4856	Water	PC1	-1.27146065560908
CB4856	Water	PC1	-2.28238742697776
CB4856	Water	PC1	-2.11747072401553
CB4856	Water	PC1	-2.42722687048398
CB4856	Water	PC1	-2.35800869771802
CB4856	Water	PC1	-2.12944801299084
CB4856	Water	PC1	-2.64977152143328
CB4856	Water	PC1	-1.98400852813897
CB4856	Water	PC1	-2.80502075831344
CB4856	Water	PC1	-3.34767869040763
CB4856	Water	PC1	-1.70499300347691
CB4856	Water	PC1	-1.7269468314864
DL238	arsenic1	PC1	-0.573173013578387
DL238	arsenic1	PC1	-0.902622783628811
DL238	arsenic1	PC1	0.233583506500818
DL238	arsenic1	PC1	-1.22781449965602
DL238	arsenic1	PC1	-1.39471593685185
DL238	arsenic1	PC1	-2.25668378873681
DL238	arsenic1	PC1	0.175441686981107
DL238	arsenic1	PC1	0.129609344713437
DL238	arsenic1	PC1	-1.24263411084366
DL238	arsenic1	PC1	-1.3748676234851
DL238	arsenic1	PC1	-0.174677721420407
DL238	arsenic1	PC1	-0.288954968848895
DL238	arsenic1	PC1	-1.44903272239239
DL238	arsenic1	PC1	-1.11116951950537
DL238	arsenic1	PC1	-0.798187155193187
DL238	arsenic1	PC1	-0.777164407298037
DL238	arsenic1	PC1	-1.05483929854268
DL238	arsenic1	PC1	-0.982006479773801
DL238	arsenic1	PC1	0.145120417590809
DL238	arsenic2	PC1	0.365872407220254
DL238	arsenic2	PC1	0.0824600878934089
DL238	arsenic2	PC1	-0.080031652506704
DL238	arsenic2	PC1	-0.596208435393349
DL238	arsenic2	PC1	-0.608529205111625
DL238	arsenic2	PC1	0.437355484494298
DL238	arsenic2	PC1	-0.0789344951951992
DL238	arsenic2	PC1	-0.199056002760372
DL238	arsenic2	PC1	0.525578440326226
DL238	arsenic2	PC1	0.593103770599828
DL238	arsenic2	PC1	-0.0805237995282575
DL238	arsenic2	PC1	-0.198254803803717
DL238	arsenic2	PC1	0.104072445287061
DL238	arsenic2	PC1	1.14804134824258
DL238	arsenic2	PC1	-1.18341161457502
DL238	arsenic2	PC1	0.258731170888824
DL238	arsenic2	PC1	-0.0827352736858456
DL238	arsenic2	PC1	0.845827114341398
DL238	arsenic3	PC1	2.44507638350521
DL238	arsenic3	PC1	2.00770174553487
DL238	arsenic3	PC1	1.75998213557542
DL238	arsenic3	PC1	1.93470227494375
DL238	arsenic3	PC1	2.00642085215182
DL238	arsenic3	PC1	2.02930647169971
DL238	arsenic3	PC1	0.904184710057805
DL238	arsenic3	PC1	1.73364945527195
DL238	arsenic3	PC1	1.70075443261004
DL238	arsenic3	PC1	1.86934292419372
DL238	arsenic3	PC1	2.09278661200691
DL238	arsenic3	PC1	1.29317324650094
DL238	arsenic3	PC1	2.20668912223038
DL238	arsenic3	PC1	2.293141468215
DL238	arsenic3	PC1	-0.23647223954178
