Trait	PC	loading
mean.norm.EXT	PC1	0.512777118314839
mean.norm.yellow	PC1	0.485459666514448
mean.TOF	PC1	0.523361398608095
norm.n	PC1	0.476950087081855
mean.norm.EXT	PC2	-0.0644835028199634
mean.norm.yellow	PC2	-0.660190882344737
mean.TOF	PC2	-0.00637963848040241
norm.n	PC2	0.748297519002839
