Trait	PC	loading
mean.norm.EXT	PC1	-0.543502333609821
mean.norm.yellow	PC1	-0.499615368447547
mean.TOF	PC1	-0.52355259777185
norm.n	PC1	-0.425302685552358
mean.norm.EXT	PC2	0.15996531976985
mean.norm.yellow	PC2	0.495310575425423
mean.TOF	PC2	0.0535353609672377
norm.n	PC2	-0.852181022711005
