Trait	PC	Loading
mean.norm.EXT	PC1	0.543342780697281
mean.norm.yellow	PC1	0.546718261408752
mean.TOF	PC1	0.534981497773261
norm.n	PC1	0.345937223129597
mean.norm.EXT	PC2	-0.229591644424596
mean.norm.yellow	PC2	-0.136268159752821
mean.TOF	PC2	-0.232341791398767
norm.n	PC2	0.935273199347443
mean.norm.EXT	PC3	0.26071286874285
mean.norm.yellow	PC3	0.549370785892752
mean.TOF	PC3	-0.792110855087679
norm.n	PC3	-0.0527345515930548
