Condition	Strain	Trait	Value
arsenictrioxide	QX561	mean.norm.yellow	-0.0291080918758545
arsenictrioxide	QX403	mean.norm.yellow	-0.110823315530318
arsenictrioxide	QX475	mean.norm.yellow	-0.0218511914953741
arsenictrioxide	QX307	mean.TOF	-4.28554874828037
arsenictrioxide	QX437	mean.TOF	-16.1486862273449
arsenictrioxide	QX453	mean.TOF	24.6103195280524
arsenictrioxide	QX416	mean.TOF	-6.76983356518843
arsenictrioxide	QX382	mean.TOF	-12.7648397539203
arsenictrioxide	QX561	mean.TOF	-22.965687663097
arsenictrioxide	QX403	mean.TOF	-73.0041531327636
arsenictrioxide	QX475	mean.TOF	-24.9471864673768
arsenictrioxide	QX307	norm.n	-64.085047454894
arsenictrioxide	QX437	norm.n	1.33718113646771
arsenictrioxide	QX453	norm.n	26.3630659177445
arsenictrioxide	QX416	norm.n	49.8631685690369
arsenictrioxide	QX382	norm.n	3.66911080636303
arsenictrioxide	QX561	norm.n	12.4319934024979
arsenictrioxide	QX403	norm.n	-60.1889105155668
arsenictrioxide	QX475	norm.n	-52.5757309068885
arsenictrioxide	QX418	mean.norm.EXT	-0.0683044204716422
arsenictrioxide	QX482	mean.norm.EXT	0.191148558711186
arsenictrioxide	QX426	mean.norm.EXT	-0.0710079184873572
arsenictrioxide	QX359	mean.norm.EXT	0.134141980786583
arsenictrioxide	QX352	mean.norm.EXT	-0.405594612019998
arsenictrioxide	QX278	mean.norm.EXT	-0.0676007050576972
arsenictrioxide	QX418	mean.norm.yellow	-0.0636365534050387
arsenictrioxide	QX482	mean.norm.yellow	0.0524328487616984
arsenictrioxide	QX426	mean.norm.yellow	0.00174623587074264
arsenictrioxide	QX359	mean.norm.yellow	0.101989524971603
arsenictrioxide	QX352	mean.norm.yellow	-0.199970600594802
arsenictrioxide	QX278	mean.norm.yellow	-0.0540098023278217
arsenictrioxide	QX418	mean.TOF	-9.54719535386493
arsenictrioxide	QX482	mean.TOF	4.53261752927611
arsenictrioxide	QX426	mean.TOF	25.0982429008562
arsenictrioxide	QX359	mean.TOF	5.43584167480777
arsenictrioxide	QX352	mean.TOF	-39.5562607778892
arsenictrioxide	QX278	mean.TOF	-13.0091010094787
arsenictrioxide	QX418	norm.n	-6.87353593904333
arsenictrioxide	QX482	norm.n	-12.1647620330771
arsenictrioxide	QX426	norm.n	-7.64605285848895
arsenictrioxide	QX359	norm.n	24.5391140670433
arsenictrioxide	QX352	norm.n	-48.3537568520855
arsenictrioxide	QX278	norm.n	-13.7129595104669
arsenictrioxide	QX553	mean.norm.EXT	-0.200417805315919
arsenictrioxide	QX245	mean.norm.EXT	0.150884639662086
arsenictrioxide	QX399	mean.norm.EXT	0.161086881408373
arsenictrioxide	QX506	mean.norm.EXT	-0.439564473565821
arsenictrioxide	QX487	mean.norm.EXT	0.109497653760883
arsenictrioxide	QX529	mean.norm.EXT	0.447213899270811
arsenictrioxide	QX553	mean.norm.yellow	-0.0160009926099799
arsenictrioxide	QX245	mean.norm.yellow	0.00494348346638475
arsenictrioxide	QX399	mean.norm.yellow	-0.0299256912057357
arsenictrioxide	QX506	mean.norm.yellow	-0.227224234133379
arsenictrioxide	QX487	mean.norm.yellow	0.0446370697096456
arsenictrioxide	QX529	mean.norm.yellow	0.11009734546679
arsenictrioxide	QX553	mean.TOF	-7.34300080740953
arsenictrioxide	QX245	mean.TOF	5.99841054768299
arsenictrioxide	QX399	mean.TOF	20.1741455049337
arsenictrioxide	QX506	mean.TOF	-28.7821397272524
arsenictrioxide	QX487	mean.TOF	2.01938136524265
arsenictrioxide	QX529	mean.TOF	21.7911704429285
arsenictrioxide	QX553	norm.n	-21.8580471416999
arsenictrioxide	QX245	norm.n	0.620358366637698
arsenictrioxide	QX399	norm.n	-19.5307881924636
arsenictrioxide	QX506	norm.n	-17.2385234962823
arsenictrioxide	QX487	norm.n	32.7708421323565
arsenictrioxide	QX529	norm.n	0.247141611121107
arsenictrioxide	QX315	mean.norm.EXT	-0.532467498200181
arsenictrioxide	QX404	mean.norm.EXT	0.190530275473898
arsenictrioxide	QX521	mean.norm.EXT	0.30233834418016
arsenictrioxide	QX305	mean.norm.EXT	-0.0749190784858687
arsenictrioxide	QX306	mean.norm.EXT	0.00604091886298926
arsenictrioxide	QX492	mean.norm.EXT	0.0624756039105698
arsenictrioxide	QX279	mean.norm.EXT	-0.0427083072685301
arsenictrioxide	QX315	mean.norm.yellow	-0.188656755158586
arsenictrioxide	QX404	mean.norm.yellow	0.0290671078236572
arsenictrioxide	QX521	mean.norm.yellow	0.221248742768597
arsenictrioxide	QX305	mean.norm.yellow	-0.0419210949049093
arsenictrioxide	QX306	mean.norm.yellow	0.128451477773573
arsenictrioxide	QX492	mean.norm.yellow	-0.0164786947602195
arsenictrioxide	QX279	mean.norm.yellow	-0.0360529371931333
arsenictrioxide	QX315	mean.TOF	-48.9240839897251
arsenictrioxide	QX404	mean.TOF	-1.90738414424172
arsenictrioxide	QX521	mean.TOF	-4.40668782788333
arsenictrioxide	QX305	mean.TOF	-1.59847711837986
arsenictrioxide	QX306	mean.TOF	-15.1430612338735
arsenictrioxide	QX492	mean.TOF	3.39080535481656
arsenictrioxide	QX279	mean.TOF	-16.107807331896
arsenictrioxide	QX315	norm.n	-37.7557481678399
arsenictrioxide	QX404	norm.n	23.4680887995696
arsenictrioxide	QX521	norm.n	15.820131307491
arsenictrioxide	QX305	norm.n	-5.42934069040352
arsenictrioxide	QX306	norm.n	75.0789979551002
arsenictrioxide	QX492	norm.n	-7.29508659208345
arsenictrioxide	QX279	norm.n	-10.8228966439469
arsenictrioxide	QX402	mean.norm.EXT	0.219844078436972
arsenictrioxide	QX363	mean.norm.EXT	0.158392745605498
arsenictrioxide	QX456	mean.norm.EXT	0.0862347245609393
arsenictrioxide	QX413	mean.norm.EXT	0.0480385209845356
arsenictrioxide	QX402	mean.norm.yellow	0.287680111382376
arsenictrioxide	QX363	mean.norm.yellow	0.0791821168515307
arsenictrioxide	QX456	mean.norm.yellow	0.0628019029013801
arsenictrioxide	QX413	mean.norm.yellow	-0.0310369567756113
arsenictrioxide	QX402	mean.TOF	2.78839684325015
arsenictrioxide	QX363	mean.TOF	3.97319201346752
arsenictrioxide	QX456	mean.TOF	4.44689100569565
arsenictrioxide	QX413	mean.TOF	-2.20543789957519
arsenictrioxide	QX402	norm.n	16.6010815441829
arsenictrioxide	QX363	norm.n	35.0226318859333
arsenictrioxide	QX456	norm.n	32.4311419306978
arsenictrioxide	QX413	norm.n	13.067499892301
arsenictrioxide	QX334	mean.norm.EXT	0.0854762195702255
arsenictrioxide	QX378	mean.norm.EXT	0.188293096570641
arsenictrioxide	QX445	mean.norm.EXT	-0.0224153007018361
arsenictrioxide	QX465	mean.norm.EXT	-0.122416654818168
arsenictrioxide	QX442	mean.norm.EXT	0.0338950008508413
arsenictrioxide	QX372	mean.norm.EXT	0.00964026620505151
arsenictrioxide	QX334	mean.norm.yellow	-0.0637144333644958
arsenictrioxide	QX378	mean.norm.yellow	0.0343611492252964
arsenictrioxide	QX445	mean.norm.yellow	-0.045888141038856
arsenictrioxide	QX465	mean.norm.yellow	-0.0868588273718932
arsenictrioxide	QX442	mean.norm.yellow	-0.0200744107127787
arsenictrioxide	QX372	mean.norm.yellow	0.0535552554734625
arsenictrioxide	QX334	mean.TOF	2.85102526439319
arsenictrioxide	QX378	mean.TOF	9.30638542172099
arsenictrioxide	QX445	mean.TOF	7.93328146537276
arsenictrioxide	QX465	mean.TOF	-6.56663027367845
