plate	condition	control	strain	row	col	trait	value
3	albendazole25	DMSO	DL238	C	5	q25.green	8
3	DMSO	NA	N2	C	7	q25.green	14
3	albendazole3125	DMSO	N2	C	8	q25.green	10
3	albendazole625	DMSO	N2	C	9	q25.green	13
3	DMSO	NA	Ju775	D	1	q25.green	14
3	albendazole125	DMSO	CB4856	D	10	q25.green	9
3	albendazole25	DMSO	CB4856	D	11	q25.green	7
3	albendazole3125	DMSO	Ju775	D	2	q25.green	15
3	albendazole625	DMSO	Ju775	D	3	q25.green	17
3	albendazole125	DMSO	Ju775	D	4	q25.green	13.5
3	albendazole25	DMSO	Ju775	D	5	q25.green	17
3	DMSO	NA	CB4856	D	7	q25.green	13
3	albendazole3125	DMSO	CB4856	D	8	q25.green	11
3	albendazole625	DMSO	CB4856	D	9	q25.green	13
3	DMSO	NA	Ju775	E	1	q25.green	13
3	albendazole125	DMSO	DL238	E	10	q25.green	13
3	albendazole25	DMSO	DL238	E	11	q25.green	8
3	albendazole3125	DMSO	Ju775	E	2	q25.green	20
3	albendazole625	DMSO	Ju775	E	3	q25.green	20
3	albendazole25	DMSO	Ju775	E	5	q25.green	12
3	albendazole3125	DMSO	DL238	E	8	q25.green	16
3	albendazole625	DMSO	DL238	E	9	q25.green	14
3	DMSO	NA	CB4856	F	1	q25.green	12
3	albendazole125	DMSO	N2	F	10	q25.green	8
3	albendazole25	DMSO	N2	F	11	q25.green	7
3	albendazole3125	DMSO	CB4856	F	2	q25.green	15
3	albendazole625	DMSO	CB4856	F	3	q25.green	14
3	albendazole125	DMSO	CB4856	F	4	q25.green	8
3	albendazole25	DMSO	CB4856	F	5	q25.green	7
3	DMSO	NA	N2	F	7	q25.green	10
3	albendazole3125	DMSO	N2	F	8	q25.green	11
3	albendazole625	DMSO	N2	F	9	q25.green	10.75
3	DMSO	NA	CB4856	G	1	q25.green	13
3	albendazole125	DMSO	Ju775	G	10	q25.green	15
3	albendazole25	DMSO	Ju775	G	11	q25.green	14
3	albendazole3125	DMSO	CB4856	G	2	q25.green	12.25
3	albendazole125	DMSO	CB4856	G	4	q25.green	9.5
3	albendazole25	DMSO	CB4856	G	5	q25.green	8.5
3	albendazole625	DMSO	Ju775	G	9	q25.green	19.5
3	DMSO	NA	N2	H	1	q25.green	7
3	albendazole625	DMSO	N2	H	3	q25.green	12
3	albendazole25	DMSO	N2	H	5	q25.green	5
3	DMSO	NA	DL238	H	7	q25.green	10
3	DMSO	NA	N2	A	1	median.green	16
3	albendazole125	DMSO	CB4856	A	10	median.green	15
3	albendazole25	DMSO	CB4856	A	11	median.green	12
3	albendazole3125	DMSO	N2	A	2	median.green	23
3	albendazole625	DMSO	N2	A	3	median.green	21
3	albendazole125	DMSO	N2	A	4	median.green	14.5
3	albendazole25	DMSO	N2	A	5	median.green	9
3	DMSO	NA	CB4856	A	7	median.green	21
3	albendazole3125	DMSO	CB4856	A	8	median.green	25
3	albendazole625	DMSO	CB4856	A	9	median.green	26
3	DMSO	NA	DL238	B	1	median.green	17
3	albendazole125	DMSO	Ju775	B	10	median.green	25
3	albendazole25	DMSO	Ju775	B	11	median.green	20
3	albendazole3125	DMSO	DL238	B	2	median.green	18
3	albendazole625	DMSO	DL238	B	3	median.green	24
3	albendazole125	DMSO	DL238	B	4	median.green	20
3	albendazole25	DMSO	DL238	B	5	median.green	16
3	DMSO	NA	Ju775	B	7	median.green	31
3	albendazole625	DMSO	Ju775	B	9	median.green	35
3	DMSO	NA	DL238	C	1	median.green	16
3	albendazole125	DMSO	N2	C	10	median.green	15
3	albendazole25	DMSO	N2	C	11	median.green	10
3	albendazole3125	DMSO	DL238	C	2	median.green	19
3	albendazole625	DMSO	DL238	C	3	median.green	23
3	albendazole125	DMSO	DL238	C	4	median.green	20
3	albendazole25	DMSO	DL238	C	5	median.green	15
3	DMSO	NA	N2	C	7	median.green	24
3	albendazole3125	DMSO	N2	C	8	median.green	20
3	albendazole625	DMSO	N2	C	9	median.green	19
3	DMSO	NA	Ju775	D	1	median.green	22
3	albendazole125	DMSO	CB4856	D	10	median.green	18
3	albendazole25	DMSO	CB4856	D	11	median.green	12
3	albendazole3125	DMSO	Ju775	D	2	median.green	32
3	albendazole625	DMSO	Ju775	D	3	median.green	28
3	albendazole125	DMSO	Ju775	D	4	median.green	23
3	albendazole25	DMSO	Ju775	D	5	median.green	28.5
3	DMSO	NA	CB4856	D	7	median.green	24
3	albendazole3125	DMSO	CB4856	D	8	median.green	20
3	albendazole625	DMSO	CB4856	D	9	median.green	22
3	DMSO	NA	Ju775	E	1	median.green	20
3	albendazole125	DMSO	DL238	E	10	median.green	21
3	albendazole25	DMSO	DL238	E	11	median.green	12
3	albendazole3125	DMSO	Ju775	E	2	median.green	38
3	albendazole625	DMSO	Ju775	E	3	median.green	40
3	albendazole25	DMSO	Ju775	E	5	median.green	20
3	albendazole3125	DMSO	DL238	E	8	median.green	26.5
3	albendazole625	DMSO	DL238	E	9	median.green	20.5
3	DMSO	NA	CB4856	F	1	median.green	22
3	albendazole125	DMSO	N2	F	10	median.green	14
3	albendazole25	DMSO	N2	F	11	median.green	11
3	albendazole3125	DMSO	CB4856	F	2	median.green	26
3	albendazole625	DMSO	CB4856	F	3	median.green	25
3	albendazole125	DMSO	CB4856	F	4	median.green	14
3	albendazole25	DMSO	CB4856	F	5	median.green	12
3	DMSO	NA	N2	F	7	median.green	23
3	albendazole3125	DMSO	N2	F	8	median.green	19
3	albendazole625	DMSO	N2	F	9	median.green	19
3	DMSO	NA	CB4856	G	1	median.green	24.5
3	albendazole125	DMSO	Ju775	G	10	median.green	27.5
3	albendazole25	DMSO	Ju775	G	11	median.green	21
3	albendazole3125	DMSO	CB4856	G	2	median.green	20
3	albendazole125	DMSO	CB4856	G	4	median.green	17
3	albendazole25	DMSO	CB4856	G	5	median.green	19
3	albendazole625	DMSO	Ju775	G	9	median.green	34
3	DMSO	NA	N2	H	1	median.green	16
3	albendazole625	DMSO	N2	H	3	median.green	18
3	albendazole25	DMSO	N2	H	5	median.green	10
3	DMSO	NA	DL238	H	7	median.green	16
3	DMSO	NA	N2	A	1	q75.green	49
3	albendazole125	DMSO	CB4856	A	10	q75.green	28.75
3	albendazole25	DMSO	CB4856	A	11	q75.green	24.5
3	albendazole3125	DMSO	N2	A	2	q75.green	41
3	albendazole625	DMSO	N2	A	3	q75.green	36
3	albendazole125	DMSO	N2	A	4	q75.green	28
3	albendazole25	DMSO	N2	A	5	q75.green	18
3	DMSO	NA	CB4856	A	7	q75.green	63
3	albendazole3125	DMSO	CB4856	A	8	q75.green	48.75
3	albendazole625	DMSO	CB4856	A	9	q75.green	44.75
3	DMSO	NA	DL238	B	1	q75.green	46
3	albendazole125	DMSO	Ju775	B	10	q75.green	47
3	albendazole25	DMSO	Ju775	B	11	q75.green	32.5
3	albendazole3125	DMSO	DL238	B	2	q75.green	47
3	albendazole625	DMSO	DL238	B	3	q75.green	50
3	albendazole125	DMSO	DL238	B	4	q75.green	37
3	albendazole25	DMSO	DL238	B	5	q75.green	27.25
3	DMSO	NA	Ju775	B	7	q75.green	64.25
3	albendazole625	DMSO	Ju775	B	9	q75.green	59.25
3	DMSO	NA	DL238	C	1	q75.green	37
3	albendazole125	DMSO	N2	C	10	q75.green	28.25
3	albendazole25	DMSO	N2	C	11	q75.green	17
3	albendazole3125	DMSO	DL238	C	2	q75.green	40
3	albendazole625	DMSO	DL238	C	3	q75.green	51.75
3	albendazole125	DMSO	DL238	C	4	q75.green	40.5
3	albendazole25	DMSO	DL238	C	5	q75.green	25
3	DMSO	NA	N2	C	7	q75.green	68.5
3	albendazole3125	DMSO	N2	C	8	q75.green	38
3	albendazole625	DMSO	N2	C	9	q75.green	35
3	DMSO	NA	Ju775	D	1	q75.green	43
3	albendazole125	DMSO	CB4856	D	10	q75.green	38
3	albendazole25	DMSO	CB4856	D	11	q75.green	20
3	albendazole3125	DMSO	Ju775	D	2	q75.green	53.5
3	albendazole625	DMSO	Ju775	D	3	q75.green	52.25
3	albendazole125	DMSO	Ju775	D	4	q75.green	38
3	albendazole25	DMSO	Ju775	D	5	q75.green	48
3	DMSO	NA	CB4856	D	7	q75.green	61.5
3	albendazole3125	DMSO	CB4856	D	8	q75.green	42
3	albendazole625	DMSO	CB4856	D	9	q75.green	41
3	DMSO	NA	Ju775	E	1	q75.green	51
3	albendazole125	DMSO	DL238	E	10	q75.green	38.5
3	albendazole25	DMSO	DL238	E	11	q75.green	24
3	albendazole3125	DMSO	Ju775	E	2	q75.green	65.5
3	albendazole625	DMSO	Ju775	E	3	q75.green	64.75
3	albendazole25	DMSO	Ju775	E	5	q75.green	38
3	albendazole3125	DMSO	DL238	E	8	q75.green	53.75
3	albendazole625	DMSO	DL238	E	9	q75.green	48
3	DMSO	NA	CB4856	F	1	q75.green	50.75
3	albendazole125	DMSO	N2	F	10	q75.green	23
3	albendazole25	DMSO	N2	F	11	q75.green	19
3	albendazole3125	DMSO	CB4856	F	2	q75.green	44.5
3	albendazole625	DMSO	CB4856	F	3	q75.green	42
3	albendazole125	DMSO	CB4856	F	4	q75.green	25
3	albendazole25	DMSO	CB4856	F	5	q75.green	20
3	DMSO	NA	N2	F	7	q75.green	52
3	albendazole3125	DMSO	N2	F	8	q75.green	33
3	albendazole625	DMSO	N2	F	9	q75.green	38
3	DMSO	NA	CB4856	G	1	q75.green	70.75
3	albendazole125	DMSO	Ju775	G	10	q75.green	50.25
3	albendazole25	DMSO	Ju775	G	11	q75.green	45
3	albendazole3125	DMSO	CB4856	G	2	q75.green	47.75
3	albendazole125	DMSO	CB4856	G	4	q75.green	33
3	albendazole25	DMSO	CB4856	G	5	q75.green	33.5
3	albendazole625	DMSO	Ju775	G	9	q75.green	59
3	DMSO	NA	N2	H	1	q75.green	44.75
3	albendazole625	DMSO	N2	H	3	q75.green	41
3	albendazole25	DMSO	N2	H	5	q75.green	19.25
3	DMSO	NA	DL238	H	7	q75.green	33
3	DMSO	NA	N2	A	1	q90.green	109.2
3	albendazole125	DMSO	CB4856	A	10	q90.green	44
3	albendazole25	DMSO	CB4856	A	11	q90.green	36.9
3	albendazole3125	DMSO	N2	A	2	q90.green	66.4
3	albendazole625	DMSO	N2	A	3	q90.green	49.6
3	albendazole125	DMSO	N2	A	4	q90.green	48.3
3	albendazole25	DMSO	N2	A	5	q90.green	31
3	DMSO	NA	CB4856	A	7	q90.green	114.1
3	albendazole3125	DMSO	CB4856	A	8	q90.green	96.2
3	albendazole625	DMSO	CB4856	A	9	q90.green	66
3	DMSO	NA	DL238	B	1	q90.green	117.8
3	albendazole125	DMSO	Ju775	B	10	q90.green	78
3	albendazole25	DMSO	Ju775	B	11	q90.green	60.3
3	albendazole3125	DMSO	DL238	B	2	q90.green	82.5
3	albendazole625	DMSO	DL238	B	3	q90.green	89
3	albendazole125	DMSO	DL238	B	4	q90.green	56
3	albendazole25	DMSO	DL238	B	5	q90.green	47
3	DMSO	NA	Ju775	B	7	q90.green	109.9
3	albendazole625	DMSO	Ju775	B	9	q90.green	87.5
3	DMSO	NA	DL238	C	1	q90.green	96.4000000000001
3	albendazole125	DMSO	N2	C	10	q90.green	41.5
3	albendazole25	DMSO	N2	C	11	q90.green	29
3	albendazole3125	DMSO	DL238	C	2	q90.green	84.1
3	albendazole625	DMSO	DL238	C	3	q90.green	94
3	albendazole125	DMSO	DL238	C	4	q90.green	64.7
3	albendazole25	DMSO	DL238	C	5	q90.green	41
3	DMSO	NA	N2	C	7	q90.green	127.6
3	albendazole3125	DMSO	N2	C	8	q90.green	64
3	albendazole625	DMSO	N2	C	9	q90.green	51.6
3	DMSO	NA	Ju775	D	1	q90.green	69.8
3	albendazole125	DMSO	CB4856	D	10	q90.green	58.2
3	albendazole25	DMSO	CB4856	D	11	q90.green	39
3	albendazole3125	DMSO	Ju775	D	2	q90.green	88.2
3	albendazole625	DMSO	Ju775	D	3	q90.green	67.6000000000001
3	albendazole125	DMSO	Ju775	D	4	q90.green	65.6
3	albendazole25	DMSO	Ju775	D	5	q90.green	68
3	DMSO	NA	CB4856	D	7	q90.green	106
3	albendazole3125	DMSO	CB4856	D	8	q90.green	66.4
3	albendazole625	DMSO	CB4856	D	9	q90.green	74
3	DMSO	NA	Ju775	E	1	q90.green	89.6
3	albendazole125	DMSO	DL238	E	10	q90.green	71.4
3	albendazole25	DMSO	DL238	E	11	q90.green	39.8
3	albendazole3125	DMSO	Ju775	E	2	q90.green	97.6000000000001
3	albendazole625	DMSO	Ju775	E	3	q90.green	88.3
3	albendazole25	DMSO	Ju775	E	5	q90.green	59.4
3	albendazole3125	DMSO	DL238	E	8	q90.green	97.8000000000001
3	albendazole625	DMSO	DL238	E	9	q90.green	72.5
3	DMSO	NA	CB4856	F	1	q90.green	76.3
3	albendazole125	DMSO	N2	F	10	q90.green	40.4
3	albendazole25	DMSO	N2	F	11	q90.green	29.7
3	albendazole3125	DMSO	CB4856	F	2	q90.green	74.6
3	albendazole625	DMSO	CB4856	F	3	q90.green	69
3	albendazole125	DMSO	CB4856	F	4	q90.green	47.8
3	albendazole25	DMSO	CB4856	F	5	q90.green	33
3	DMSO	NA	N2	F	7	q90.green	109.8
3	albendazole3125	DMSO	N2	F	8	q90.green	54.1
3	albendazole625	DMSO	N2	F	9	q90.green	58
3	DMSO	NA	CB4856	G	1	q90.green	129.9
3	albendazole125	DMSO	Ju775	G	10	q90.green	84.3
3	albendazole25	DMSO	Ju775	G	11	q90.green	66.6
3	albendazole3125	DMSO	CB4856	G	2	q90.green	87
3	albendazole125	DMSO	CB4856	G	4	q90.green	45
3	albendazole25	DMSO	CB4856	G	5	q90.green	53
3	albendazole625	DMSO	Ju775	G	9	q90.green	88
3	DMSO	NA	N2	H	1	q90.green	99.6
3	albendazole625	DMSO	N2	H	3	q90.green	54.6
3	albendazole25	DMSO	N2	H	5	q90.green	31
3	DMSO	NA	DL238	H	7	q90.green	76.9
3	DMSO	NA	N2	A	1	mean.yellow	30.0813008130081
3	albendazole125	DMSO	CB4856	A	10	mean.yellow	18.7849462365591
3	albendazole25	DMSO	CB4856	A	11	mean.yellow	17.5267857142857
3	albendazole3125	DMSO	N2	A	2	mean.yellow	27.0924369747899
3	albendazole625	DMSO	N2	A	3	mean.yellow	22.0936170212766
3	albendazole125	DMSO	N2	A	4	mean.yellow	23.5053191489362
3	albendazole25	DMSO	N2	A	5	mean.yellow	23.6747967479675
3	DMSO	NA	CB4856	A	7	mean.yellow	36.5896551724138
3	albendazole3125	DMSO	CB4856	A	8	mean.yellow	32.3090909090909
3	albendazole625	DMSO	CB4856	A	9	mean.yellow	31.2570093457944
3	DMSO	NA	DL238	B	1	mean.yellow	33.4256559766764
3	albendazole125	DMSO	Ju775	B	10	mean.yellow	33.4589371980676
3	albendazole25	DMSO	Ju775	B	11	mean.yellow	24.9111111111111
3	albendazole3125	DMSO	DL238	B	2	mean.yellow	30.8132911392405
3	albendazole625	DMSO	DL238	B	3	mean.yellow	38.5681818181818
3	albendazole125	DMSO	DL238	B	4	mean.yellow	27.1008771929825
3	albendazole25	DMSO	DL238	B	5	mean.yellow	25.3275862068966
3	DMSO	NA	Ju775	B	7	mean.yellow	42.4414893617021
3	albendazole625	DMSO	Ju775	B	9	mean.yellow	36.1931818181818
3	DMSO	NA	DL238	C	1	mean.yellow	30.2949152542373
3	albendazole125	DMSO	N2	C	10	mean.yellow	17.7564102564103
3	albendazole25	DMSO	N2	C	11	mean.yellow	12.1081081081081
3	albendazole3125	DMSO	DL238	C	2	mean.yellow	31.6700680272109
3	albendazole625	DMSO	DL238	C	3	mean.yellow	32.3692810457516
3	albendazole125	DMSO	DL238	C	4	mean.yellow	33.1855670103093
3	albendazole25	DMSO	DL238	C	5	mean.yellow	19.9358974358974
3	DMSO	NA	N2	C	7	mean.yellow	43.0746268656716
3	albendazole3125	DMSO	N2	C	8	mean.yellow	23.8753894080997
3	albendazole625	DMSO	N2	C	9	mean.yellow	25.5714285714286
3	DMSO	NA	Ju775	D	1	mean.yellow	25.4526315789474
3	albendazole125	DMSO	CB4856	D	10	mean.yellow	24.2237442922374
3	albendazole25	DMSO	CB4856	D	11	mean.yellow	15.3246753246753
3	albendazole3125	DMSO	Ju775	D	2	mean.yellow	36.5217391304348
3	albendazole625	DMSO	Ju775	D	3	mean.yellow	27.8666666666667
3	albendazole125	DMSO	Ju775	D	4	mean.yellow	33.8305084745763
3	albendazole25	DMSO	Ju775	D	5	mean.yellow	30.6458333333333
3	DMSO	NA	CB4856	D	7	mean.yellow	34.5030674846626
3	albendazole3125	DMSO	CB4856	D	8	mean.yellow	26.9430051813472
3	albendazole625	DMSO	CB4856	D	9	mean.yellow	28.0459770114943
3	DMSO	NA	Ju775	E	1	mean.yellow	32.2
3	albendazole125	DMSO	DL238	E	10	mean.yellow	30.2285714285714
3	albendazole25	DMSO	DL238	E	11	mean.yellow	20.6923076923077
3	albendazole3125	DMSO	Ju775	E	2	mean.yellow	39.1851851851852
3	albendazole625	DMSO	Ju775	E	3	mean.yellow	44.4809523809524
3	albendazole25	DMSO	Ju775	E	5	mean.yellow	31.9117647058824
3	albendazole3125	DMSO	DL238	E	8	mean.yellow	40.2164948453608
3	albendazole625	DMSO	DL238	E	9	mean.yellow	33.2235772357724
3	DMSO	NA	CB4856	F	1	mean.yellow	30.295652173913
3	albendazole125	DMSO	N2	F	10	mean.yellow	16.9426751592357
3	albendazole25	DMSO	N2	F	11	mean.yellow	14.3106060606061
3	albendazole3125	DMSO	CB4856	F	2	mean.yellow	33.6139534883721
3	albendazole625	DMSO	CB4856	F	3	mean.yellow	27.8646288209607
3	albendazole125	DMSO	CB4856	F	4	mean.yellow	19.3053892215569
3	albendazole25	DMSO	CB4856	F	5	mean.yellow	21.5210084033613
3	DMSO	NA	N2	F	7	mean.yellow	35.6849315068493
3	albendazole3125	DMSO	N2	F	8	mean.yellow	21.3411764705882
3	albendazole625	DMSO	N2	F	9	mean.yellow	22.3541666666667
3	DMSO	NA	CB4856	G	1	mean.yellow	40.9144144144144
3	albendazole125	DMSO	Ju775	G	10	mean.yellow	32.1375
3	albendazole25	DMSO	Ju775	G	11	mean.yellow	31.9072164948454
3	albendazole3125	DMSO	CB4856	G	2	mean.yellow	29.448275862069
3	albendazole125	DMSO	CB4856	G	4	mean.yellow	24.0841121495327
3	albendazole25	DMSO	CB4856	G	5	mean.yellow	21.8860759493671
3	albendazole625	DMSO	Ju775	G	9	mean.yellow	38.487684729064
3	DMSO	NA	N2	H	1	mean.yellow	28.1685393258427
3	albendazole625	DMSO	N2	H	3	mean.yellow	22.0515463917526
3	albendazole25	DMSO	N2	H	5	mean.yellow	21.1785714285714
3	DMSO	NA	DL238	H	7	mean.yellow	26.4760273972603
3	DMSO	NA	N2	A	1	q10.yellow	3
3	albendazole125	DMSO	CB4856	A	10	q10.yellow	3
3	albendazole25	DMSO	CB4856	A	11	q10.yellow	4
3	albendazole3125	DMSO	N2	A	2	q10.yellow	5
3	albendazole625	DMSO	N2	A	3	q10.yellow	5
3	albendazole125	DMSO	N2	A	4	q10.yellow	3
3	albendazole25	DMSO	N2	A	5	q10.yellow	3
3	DMSO	NA	CB4856	A	7	q10.yellow	4
3	albendazole3125	DMSO	CB4856	A	8	q10.yellow	7
3	albendazole625	DMSO	CB4856	A	9	q10.yellow	6.3
3	DMSO	NA	DL238	B	1	q10.yellow	5
3	albendazole125	DMSO	Ju775	B	10	q10.yellow	8
3	albendazole25	DMSO	Ju775	B	11	q10.yellow	6
3	albendazole3125	DMSO	DL238	B	2	q10.yellow	6
3	albendazole625	DMSO	DL238	B	3	q10.yellow	7
3	albendazole125	DMSO	DL238	B	4	q10.yellow	7
3	albendazole25	DMSO	DL238	B	5	q10.yellow	4
3	DMSO	NA	Ju775	B	7	q10.yellow	7.7
3	albendazole625	DMSO	Ju775	B	9	q10.yellow	6.5
3	DMSO	NA	DL238	C	1	q10.yellow	4
3	albendazole125	DMSO	N2	C	10	q10.yellow	5
3	albendazole25	DMSO	N2	C	11	q10.yellow	3
3	albendazole3125	DMSO	DL238	C	2	q10.yellow	6
3	albendazole625	DMSO	DL238	C	3	q10.yellow	7
3	albendazole125	DMSO	DL238	C	4	q10.yellow	6
3	albendazole25	DMSO	DL238	C	5	q10.yellow	5
3	DMSO	NA	N2	C	7	q10.yellow	5
3	albendazole3125	DMSO	N2	C	8	q10.yellow	4
3	albendazole625	DMSO	N2	C	9	q10.yellow	7
3	DMSO	NA	Ju775	D	1	q10.yellow	6
3	albendazole125	DMSO	CB4856	D	10	q10.yellow	3
3	albendazole25	DMSO	CB4856	D	11	q10.yellow	3.6
3	albendazole3125	DMSO	Ju775	D	2	q10.yellow	6
3	albendazole625	DMSO	Ju775	D	3	q10.yellow	7
3	albendazole125	DMSO	Ju775	D	4	q10.yellow	4
3	albendazole25	DMSO	Ju775	D	5	q10.yellow	7.5
3	DMSO	NA	CB4856	D	7	q10.yellow	4
3	albendazole3125	DMSO	CB4856	D	8	q10.yellow	5
3	albendazole625	DMSO	CB4856	D	9	q10.yellow	6
3	DMSO	NA	Ju775	E	1	q10.yellow	7
3	albendazole125	DMSO	DL238	E	10	q10.yellow	8
3	albendazole25	DMSO	DL238	E	11	q10.yellow	5
3	albendazole3125	DMSO	Ju775	E	2	q10.yellow	9
3	albendazole625	DMSO	Ju775	E	3	q10.yellow	10
3	albendazole25	DMSO	Ju775	E	5	q10.yellow	4
3	albendazole3125	DMSO	DL238	E	8	q10.yellow	9
3	albendazole625	DMSO	DL238	E	9	q10.yellow	7
3	DMSO	NA	CB4856	F	1	q10.yellow	4
3	albendazole125	DMSO	N2	F	10	q10.yellow	3
3	albendazole25	DMSO	N2	F	11	q10.yellow	4
3	albendazole3125	DMSO	CB4856	F	2	q10.yellow	7
3	albendazole625	DMSO	CB4856	F	3	q10.yellow	7
3	albendazole125	DMSO	CB4856	F	4	q10.yellow	3
3	albendazole25	DMSO	CB4856	F	5	q10.yellow	4
3	DMSO	NA	N2	F	7	q10.yellow	3
3	albendazole3125	DMSO	N2	F	8	q10.yellow	5
3	albendazole625	DMSO	N2	F	9	q10.yellow	5
3	DMSO	NA	CB4856	G	1	q10.yellow	5
3	albendazole125	DMSO	Ju775	G	10	q10.yellow	8.9
3	albendazole25	DMSO	Ju775	G	11	q10.yellow	7
3	albendazole3125	DMSO	CB4856	G	2	q10.yellow	6
3	albendazole125	DMSO	CB4856	G	4	q10.yellow	5
3	albendazole25	DMSO	CB4856	G	5	q10.yellow	4.8
3	albendazole625	DMSO	Ju775	G	9	q10.yellow	9
3	DMSO	NA	N2	H	1	q10.yellow	3
3	albendazole625	DMSO	N2	H	3	q10.yellow	5.6
3	albendazole25	DMSO	N2	H	5	q10.yellow	3
3	DMSO	NA	DL238	H	7	q10.yellow	4
3	DMSO	NA	N2	A	1	q25.yellow	8
3	albendazole125	DMSO	CB4856	A	10	q25.yellow	7
3	albendazole25	DMSO	CB4856	A	11	q25.yellow	7
3	albendazole3125	DMSO	N2	A	2	q25.yellow	9
3	albendazole625	DMSO	N2	A	3	q25.yellow	10.5
3	albendazole125	DMSO	N2	A	4	q25.yellow	7
3	albendazole25	DMSO	N2	A	5	q25.yellow	5
3	DMSO	NA	CB4856	A	7	q25.yellow	9
3	albendazole3125	DMSO	CB4856	A	8	q25.yellow	11
3	albendazole625	DMSO	CB4856	A	9	q25.yellow	11
3	DMSO	NA	DL238	B	1	q25.yellow	9
3	albendazole125	DMSO	Ju775	B	10	q25.yellow	12
3	albendazole25	DMSO	Ju775	B	11	q25.yellow	10
3	albendazole3125	DMSO	DL238	B	2	q25.yellow	10
3	albendazole625	DMSO	DL238	B	3	q25.yellow	12
3	albendazole125	DMSO	DL238	B	4	q25.yellow	11
3	albendazole25	DMSO	DL238	B	5	q25.yellow	8
3	DMSO	NA	Ju775	B	7	q25.yellow	11.75
3	albendazole625	DMSO	Ju775	B	9	q25.yellow	13
3	DMSO	NA	DL238	C	1	q25.yellow	7
3	albendazole125	DMSO	N2	C	10	q25.yellow	8
3	albendazole25	DMSO	N2	C	11	q25.yellow	4.5
3	albendazole3125	DMSO	DL238	C	2	q25.yellow	10
3	albendazole625	DMSO	DL238	C	3	q25.yellow	11
3	albendazole125	DMSO	DL238	C	4	q25.yellow	10
3	albendazole25	DMSO	DL238	C	5	q25.yellow	8.75
3	DMSO	NA	N2	C	7	q25.yellow	11
3	albendazole3125	DMSO	N2	C	8	q25.yellow	9
3	albendazole625	DMSO	N2	C	9	q25.yellow	11
3	DMSO	NA	Ju775	D	1	q25.yellow	11
3	albendazole125	DMSO	CB4856	D	10	q25.yellow	7
3	albendazole25	DMSO	CB4856	D	11	q25.yellow	6
3	albendazole3125	DMSO	Ju775	D	2	q25.yellow	12.5
3	albendazole625	DMSO	Ju775	D	3	q25.yellow	12.25
3	albendazole125	DMSO	Ju775	D	4	q25.yellow	11
3	albendazole25	DMSO	Ju775	D	5	q25.yellow	13
3	DMSO	NA	CB4856	D	7	q25.yellow	9
3	albendazole3125	DMSO	CB4856	D	8	q25.yellow	10
3	albendazole625	DMSO	CB4856	D	9	q25.yellow	11
3	DMSO	NA	Ju775	E	1	q25.yellow	10
3	albendazole125	DMSO	DL238	E	10	q25.yellow	11
3	albendazole25	DMSO	DL238	E	11	q25.yellow	8
3	albendazole3125	DMSO	Ju775	E	2	q25.yellow	15.5
3	albendazole625	DMSO	Ju775	E	3	q25.yellow	17
3	albendazole25	DMSO	Ju775	E	5	q25.yellow	5.25
3	albendazole3125	DMSO	DL238	E	8	q25.yellow	14
3	albendazole625	DMSO	DL238	E	9	q25.yellow	11
3	DMSO	NA	CB4856	F	1	q25.yellow	9
3	albendazole125	DMSO	N2	F	10	q25.yellow	7
3	albendazole25	DMSO	N2	F	11	q25.yellow	6
3	albendazole3125	DMSO	CB4856	F	2	q25.yellow	11
3	albendazole625	DMSO	CB4856	F	3	q25.yellow	12
3	albendazole125	DMSO	CB4856	F	4	q25.yellow	7
3	albendazole25	DMSO	CB4856	F	5	q25.yellow	6
3	DMSO	NA	N2	F	7	q25.yellow	8
3	albendazole3125	DMSO	N2	F	8	q25.yellow	8.25
3	albendazole625	DMSO	N2	F	9	q25.yellow	10
3	DMSO	NA	CB4856	G	1	q25.yellow	9.25
3	albendazole125	DMSO	Ju775	G	10	q25.yellow	13
3	albendazole25	DMSO	Ju775	G	11	q25.yellow	11
3	albendazole3125	DMSO	CB4856	G	2	q25.yellow	10
3	albendazole125	DMSO	CB4856	G	4	q25.yellow	8
3	albendazole25	DMSO	CB4856	G	5	q25.yellow	7
3	albendazole625	DMSO	Ju775	G	9	q25.yellow	17
3	DMSO	NA	N2	H	1	q25.yellow	6
3	albendazole625	DMSO	N2	H	3	q25.yellow	10
3	albendazole25	DMSO	N2	H	5	q25.yellow	3.75
3	DMSO	NA	DL238	H	7	q25.yellow	8
3	DMSO	NA	N2	A	1	median.yellow	13
3	albendazole125	DMSO	CB4856	A	10	median.yellow	14
3	albendazole25	DMSO	CB4856	A	11	median.yellow	11
3	albendazole3125	DMSO	N2	A	2	median.yellow	19
3	albendazole625	DMSO	N2	A	3	median.yellow	18
3	albendazole125	DMSO	N2	A	4	median.yellow	13
3	albendazole25	DMSO	N2	A	5	median.yellow	9
3	DMSO	NA	CB4856	A	7	median.yellow	19
3	albendazole3125	DMSO	CB4856	A	8	median.yellow	20.5
3	albendazole625	DMSO	CB4856	A	9	median.yellow	21.5
3	DMSO	NA	DL238	B	1	median.yellow	14
3	albendazole125	DMSO	Ju775	B	10	median.yellow	22
3	albendazole25	DMSO	Ju775	B	11	median.yellow	15.5
3	albendazole3125	DMSO	DL238	B	2	median.yellow	14
3	albendazole625	DMSO	DL238	B	3	median.yellow	22
3	albendazole125	DMSO	DL238	B	4	median.yellow	18
