date	experiment	round	assay	plate	condition	control	strain	row	col	n	mean.TOF	q10.TOF	q25.TOF	median.TOF	q75.TOF	q90.TOF	mean.EXT	q10.EXT	q25.EXT	median.EXT	q75.EXT	q90.EXT	mean.red	q10.red	q25.red	median.red	q75.red	q90.red	mean.green	q10.green	q25.green	median.green	q75.green	q90.green	mean.yellow	q10.yellow	q25.yellow	median.yellow	q75.yellow	q90.yellow	mean.norm.EXT	q10.norm.EXT	q25.norm.EXT	median.norm.EXT	q75.norm.EXT	q90.norm.EXT	mean.norm.red	q10.norm.red	q25.norm.red	median.norm.red	q75.norm.red	q90.norm.red	mean.norm.green	q10.norm.green	q25.norm.green	median.norm.green	q75.norm.green	q90.norm.green	mean.norm.yellow	q10.norm.yellow	q25.norm.yellow	median.norm.yellow	q75.norm.yellow	q90.norm.yellow	var.TOF	cv.TOF	iqr.TOF	var.EXT	cv.EXT	iqr.EXT	var.red	cv.red	iqr.red	var.green	cv.green	iqr.green	var.yellow	cv.yellow	iqr.yellow	f.L1	f.L2L3	f.L4	f.ad	norm.n
20180312	ben	1	NA	1	DMSO	None	N2	A	1	337	201.445103857567	93.6	125	177	269	338.4	518.160237388724	138.2	209	403	668	1094.2	14.7388724035608	2	4	9	18	34.4	31.0237388724036	5	8	21	36	74	20.3115727002967	3	5	12	25	46.4	2.35875352110566	1.29325890940318	1.59235668789809	2.09124087591241	2.875	3.76016566882638	0.0664168165856454	0.0207474226804124	0.0289855072463768	0.0481927710843374	0.0808823529411765	0.124327866465224	0.133184807764802	0.0399087399087399	0.0611111111111111	0.103734439834025	0.178571428571429	0.244219977553311	0.0887785737610017	0.0257736516357206	0.0404040404040404	0.0652173913043478	0.112676056338028	0.172830387760486	10017.2239119684	0.496840482058163	144	190492.158771372	0.842314872072107	459	364.038752296171	1.29452233963379	14	1656.90419669351	1.31206261955852	28	738.435371626396	1.33786623810168	20	0.0919881305637982	0.489614243323442	0.252225519287834	0.166172106824926	112.333333333333
20180312	ben	1	NA	1	DMSO	None	ECA883	A	10	268	263.417910447761	126.4	176.25	256	329.25	397.4	687.932835820896	199	336.5	584	899.75	1361.6	19.3694029850746	3	7	13.5	24.5	43.3	44.2761194029851	7.7	16	32.5	54.25	101.3	27.6679104477612	4	10	20	33.25	62.3	2.42212719315387	1.34961282516636	1.73181573275862	2.21118067978533	2.9373378043809	3.87393459603433	0.0643632510132711	0.0232764790076336	0.0344172020453652	0.0516073264180918	0.0820340184266478	0.126315789473684	0.146254958435118	0.0516141522675572	0.0864450049212598	0.122698000225963	0.190339606158774	0.27710642948212	0.0907492202531058	0.0286863711001642	0.0493321190042501	0.0753465509440171	0.121266233766234	0.182902870691845	13591.4426742691	0.442575611863978	153	276345.823187434	0.764153159507826	563.25	583.005352451227	1.24657965924869	17.5	2733.60137514674	1.18085899513365	38.25	1203.03911621667	1.25361307434063	23.25	0.041044776119403	0.261194029850746	0.332089552238806	0.365671641791045	89.3333333333333
20180312	ben	1	NA	1	DMSO	None	ECA920	A	11	291	223.07560137457	96	138.5	213	295.5	375	552.305841924399	152	237	424	740.5	1134	15.3127147766323	3	5	10	19	34	35.2268041237113	7	10.5	24	43	79	22.1030927835052	4	6	14	27.5	51	2.30935441691694	1.3	1.52998027613412	2.0390625	2.81172147315518	3.88532110091743	0.0629557785781067	0.0229007633587786	0.0305610644774467	0.0480225988700565	0.0801924107484625	0.124293785310734	0.147583791415889	0.0479452054794521	0.0685017596782303	0.113095238095238	0.180987711255188	0.292237442922374	0.0893879852953358	0.027972027972028	0.0406784335355764	0.0655021834061135	0.119141487415631	0.183673469387755	10811.677023344	0.466116481320906	157	176579.861310582	0.760835816240825	503.5	235.97428605285	1.00318296130526	14	1204.67941699254	0.985286427892787	32.5	535.072093849982	1.04653342547941	21.5	0.0756013745704467	0.378006872852234	0.319587628865979	0.22680412371134	97
20180312	ben	1	NA	1	DMSO	None	ECA921	A	12	273	227.446886446886	95	147	220	290	352.4	559.809523809524	162.4	253	446	707	1140.2	15.5787545787546	3	5	10	19	36.8	36.4468864468864	7	12	25	46	88	22.7875457875458	4	7	15	27	52.8	2.29622308947627	1.30419812745394	1.5982905982906	1.99382716049383	2.70408163265306	3.61022602589423	0.0611935734180489	0.0206968018581383	0.0303030303030303	0.0447761194029851	0.0744186046511628	0.121284204767646	0.146817595684653	0.051271785209609	0.0707547169811321	0.113445378151261	0.176470588235294	0.272137427748589	0.0887710369317223	0.0311995802452942	0.0434782608695652	0.06875	0.111111111111111	0.188318622643565	11462.9613229907	0.470726250083138	143	207513.816526611	0.81373543131781	454	331.229988149106	1.16824004480388	14	1671.67455828485	1.12179999237496	34	729.734109028226	1.18545417056927	20	0.0879120879120879	0.318681318681319	0.384615384615385	0.208791208791209	91
20180312	ben	1	NA	1	DMSO	None	PTM	A	2	339	234.935103244838	107.6	155	226	291	385.6	669.01179941003	185.2	312	544	870	1306.8	18.8761061946903	4	6	12	25	40.2	42.377581120944	7	15	28	54.5	91.2	26.9675516224189	4	10	17	36.5	58	2.6366107839736	1.43582259483517	1.8011400025618	2.38064516129032	3.31885042125132	4.05077039047188	0.0726533178917034	0.0246311352002409	0.0334130781499203	0.0573476702508961	0.0943641400151095	0.140217998203578	0.160900626523079	0.0524145415084102	0.0797669278681937	0.134969325153374	0.212348291798039	0.289862380502154	0.10291625882038	0.0323960443226498	0.047820503799606	0.0846153846153846	0.138486769483079	0.1975733932822	11639.6644150041	0.459221610298673	136	265359.709919534	0.76998756999693	558	555.694664083365	1.24883683897585	19	2731.9635195755	1.23339244540619	39.5	1156.47527534866	1.26103359701529	26.5	0.0648967551622419	0.333333333333333	0.365781710914454	0.23598820058997	113
20180312	ben	1	NA	1	DMSO	None	ECA884	A	3	369	213.566395663957	104.8	140	194	267	334.2	596.154471544715	171.8	245	472	693	1239.2	17.9349593495935	3	5	10	22	38	39.8915989159892	7	10	24	43	85	25.4552845528455	4	6	15	29	55	2.53043056890416	1.32949806949807	1.64102564102564	2.22442244224422	3.28738317757009	4.11514084507042	0.0742938380490839	0.0211267605633803	0.0301204819277108	0.0514705882352941	0.0916905444126074	0.151458230350964	0.159531350313778	0.0479370027069149	0.0684931506849315	0.121311475409836	0.198924731182796	0.292765776763441	0.102380442242459	0.0276243093922652	0.0432900432900433	0.0753768844221105	0.129032258064516	0.211746031746032	10988.9745198539	0.490846462053891	127	311812.940747614	0.936673560977052	448	774.104453870626	1.55131283764019	17	4144.43930423	1.61380645414738	33	1640.36823966066	1.591082576135	23	0.0514905149051491	0.476964769647696	0.306233062330623	0.165311653116531	123
20180312	ben	1	NA	1	DMSO	None	ECA917	A	4	217	199.253456221198	98.6	137	195	247	285.6	476.797235023041	151	221	395	562	888.8	12.2995391705069	2	4	8	14	25.8	29.6405529953917	5	8	18	30	63.4	17.7281105990783	3	5	11	20	37.4	2.23897018969457	1.23797243219209	1.5	1.89473684210526	2.68561872909699	3.85468085106383	0.0542344804008044	0.0176507018992568	0.0289256198347107	0.0391459074733096	0.0638297872340425	0.107381507381507	0.128108662977531	0.0430566534914361	0.0579710144927536	0.0843373493975904	0.143589743589744	0.241747973939298	0.0773968591264103	0.0240578313253012	0.0363636363636364	0.0526315789473684	0.0989761092150171	0.153942912433478	7497.71786994369	0.434568941157234	110	173086.782770097	0.872565875631581	341	301.349675712579	1.41138833688473	10	2222.98131080389	1.590675543376	22	704.15258576549	1.49682468500861	15	0.0737327188940092	0.442396313364055	0.400921658986175	0.0829493087557604	72.3333333333333
20180312	ben	1	NA	1	DMSO	None	ECA918	A	5	336	209.693452380952	100	138.75	193.5	255.25	333.5	511.622023809524	134	212.75	393	623.75	1044.5	13.8928571428571	2.5	4	8.5	16	31	30.6845238095238	5	8	20	35	69.5	19.7946428571429	3	5	12	22	45	2.20173492905504	1.21981918790429	1.43977397010572	1.93294381801495	2.58500078622533	3.74598241559752	0.0577830333796829	0.0194489976043374	0.0261694555658214	0.04	0.0687860956739675	0.117393800229621	0.121503969628955	0.0436369406537607	0.055761722939637	0.0965839826151481	0.149255775728244	0.242484526967286	0.0797473956669121	0.0233466569767442	0.033694360414866	0.0571704053950995	0.102838097855965	0.170653700140413	11121.1206734186	0.502908998712926	116.5	243699.417901563	0.964890464717096	411	475.540724946697	1.56964806059222	12	2290.40167022033	1.5596833571253	27	979.274120469082	1.58090025052081	17	0.0625	0.467261904761905	0.321428571428571	0.148809523809524	112
20180312	ben	1	NA	1	DMSO	None	ECA919	A	6	250	226.872	104	150.5	216.5	280.5	354.2	589.068	174.2	267.75	468	728.25	1141.4	17.244	3	5	11	20	34.1	38.988	7.9	13	25.5	42	79	24.908	4	7.25	15	28	52	2.40008562531832	1.33905454545455	1.61667612226083	2.15838790524699	2.98638613861386	3.81873643074251	0.0673679738266678	0.022459355972632	0.032258064516129	0.0474315710536183	0.0827947225041397	0.135277161862528	0.148828431924253	0.0491854742915323	0.0769230769230769	0.115	0.185117282987466	0.260803976281828	0.094727073316723	0.0312305900621118	0.0467740701056176	0.0701061682899008	0.117335823218176	0.200114942528736	11578.5297349398	0.474292009484526	130	287976.77848996	0.910989357424332	460.5	620.747453815261	1.44483901118222	15	3611.9235502008	1.54148150147217	29	1476.20435341366	1.54253271583412	20.75	0.056	0.38	0.368	0.196	83.3333333333333
20180312	ben	1	NA	1	DMSO	None	ECA880	A	7	299	219.501672240803	104	142.5	212	268.5	348.2	578.394648829431	142.6	227	432	752	1276.8	17.0200668896321	3	5	10	21.5	39	38.066889632107	6	11	23	45	94.2	25.0869565217391	4	7	14	29	62.4	2.35862498540958	1.27679805942996	1.48909076483656	1.984375	2.91747210605771	4.14023809523809	0.0692703360444775	0.02	0.0285714285714286	0.0441176470588235	0.0950763448437867	0.152504757268664	0.148127098223037	0.0463002114164905	0.0649905719673162	0.105960264900662	0.198028265329382	0.310669024462128	0.0986310199845865	0.0281426879031197	0.0402686579115951	0.0642570281124498	0.141797697164789	0.221396560708702	9863.48573544926	0.452457068357283	126	244327.548427645	0.854598157882683	525	431.885502008934	1.22102076622112	16.5	2093.7404772059	1.2020264704903	34	995.415231981325	1.25763369289851	22	0.0602006688963211	0.374581939799331	0.374581939799331	0.190635451505017	99.6666666666667
