condition,strain,trait,phenotype
Etoposide,Bristol,median.TOF,21.3874938489268
Etoposide,Bristol,median.TOF,13.8874938489259
Etoposide,Bristol,median.TOF,27.3874938489259
Etoposide,Bristol,median.TOF,34.8874938489259
Etoposide,Bristol,median.TOF,-0.112506151074089
Etoposide,Bristol,median.TOF,28.8874938489259
Etoposide,Bristol,median.TOF,4.88749384892591
Etoposide,Bristol,median.TOF,5.38749384892591
Etoposide,Bristol,median.TOF,3.88749384892591
Etoposide,Bristol,median.TOF,-4.11250615107409
Etoposide,Bristol,median.TOF,27.8874938489259
Etoposide,Bristol,median.TOF,40.3874938489259
Etoposide,Bristol,median.TOF,33.8874938489259
Etoposide,Bristol,median.TOF,36.3874938489259
Etoposide,Bristol,median.TOF,11.8874938489259
Etoposide,Bristol,median.TOF,39.3874938489259
Etoposide,Bristol,median.TOF,36.8874938489259
Etoposide,Bristol,median.TOF,26.8874938489259
Etoposide,Bristol,median.TOF,41.8874938489259
Etoposide,Bristol,median.TOF,59.8874938489259
Etoposide,Bristol,median.TOF,38.8874938489259
Etoposide,Bristol,median.TOF,23.8874938489259
Etoposide,Bristol,median.TOF,8.88749384892591
Etoposide,Bristol/Bristol-GFP,median.TOF,-4.10924469989037
Etoposide,Bristol/Bristol-GFP,median.TOF,-33.1092446998904
Etoposide,Bristol/Bristol-GFP,median.TOF,6.89075530010963
Etoposide,Bristol/Bristol-GFP,median.TOF,8.39075530010963
Etoposide,Bristol/Bristol-GFP,median.TOF,-11.6092446998904
Etoposide,Bristol/Bristol-GFP,median.TOF,14.8907553001096
Etoposide,Bristol/Bristol-GFP,median.TOF,18.8907553001096
Etoposide,Bristol/Bristol-GFP,median.TOF,-58.1092446998904
Etoposide,Bristol/Bristol-GFP,median.TOF,-1.10924469989037
Etoposide,Bristol/Bristol-GFP,median.TOF,20.8907553001096
Etoposide,Bristol/Bristol-GFP,median.TOF,33.8907553001096
Etoposide,Bristol/Bristol-GFP,median.TOF,23.3907553001096
Etoposide,Hawaii,median.TOF,-39.625707255314
Etoposide,Hawaii,median.TOF,-47.625707255314
Etoposide,Hawaii,median.TOF,-52.625707255314
Etoposide,Hawaii,median.TOF,-17.625707255314
Etoposide,Hawaii,median.TOF,-42.125707255314
Etoposide,Hawaii,median.TOF,-43.625707255314
Etoposide,Hawaii,median.TOF,-35.125707255314
Etoposide,Hawaii,median.TOF,-7.62570725531403
Etoposide,Hawaii,median.TOF,-33.625707255314
Etoposide,Hawaii,median.TOF,-31.625707255314
Etoposide,Hawaii,median.TOF,-28.125707255314
Etoposide,Hawaii,median.TOF,-48.625707255314
Etoposide,Hawaii,median.TOF,-32.125707255314
Etoposide,Hawaii,median.TOF,-33.125707255314
Etoposide,Hawaii,median.TOF,-20.625707255314
Etoposide,Hawaii,median.TOF,-40.625707255314
Etoposide,Hawaii,median.TOF,-37.125707255314
Etoposide,Hawaii,median.TOF,-60.625707255314
Etoposide,Hawaii/Bristol-GFP,median.TOF,6.36074342810541
Etoposide,Hawaii/Bristol-GFP,median.TOF,7.86074342810541
Etoposide,Hawaii/Bristol-GFP,median.TOF,-9.63925657189459
Etoposide,Hawaii/Bristol-GFP,median.TOF,-8.63925657189459
Etoposide,Hawaii/Bristol-GFP,median.TOF,3.86074342810541
