condition,strain,trait,phenotype
Etoposide,Hawaii/Bristol-GFP,median.TOF,-17.1392565718946
Etoposide,Hawaii/Bristol-GFP,median.TOF,1.36074342810541
Etoposide,Hawaii/Bristol-GFP,median.TOF,12.8607434281054
Etoposide,Hawaii/Bristol-GFP,median.TOF,8.36074342810541
Etoposide,Hawaii/Bristol-GFP,median.TOF,19.3607434281054
Etoposide,Hawaii/Bristol-GFP,median.TOF,-5.63925657189459
Etoposide,Hawaii/Bristol-GFP,median.TOF,-15.6392565718946
Etoposide,Hawaii/Bristol-GFP,median.TOF,13.3607434281054
Etoposide,Hawaii/Bristol-GFP,median.TOF,-35.6392565718946
Etoposide,Hawaii/Bristol-GFP,median.TOF,3.36074342810541
Etoposide,Hawaii/Bristol-GFP,median.TOF,30.3607434281054
Etoposide,Hawaii/Bristol-GFP,median.TOF,0.36074342810541
Etoposide,Hawaii/Bristol-GFP,median.TOF,-7.13925657189459
Etoposide,Hawaii/Bristol-GFP,median.TOF,-11.6392565718946
Etoposide,Hawaii/Bristol-GFP,median.TOF,10.8607434281054
Etoposide,Hawaii/Bristol-GFP,median.TOF,-30.6392565718946
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,-14.3658392835293
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,40.6341607164707
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,-20.8658392835293
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,18.1341607164707
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,-37.3658392835293
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,31.6341607164707
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,27.6341607164707
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,25.6341607164707
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,-35.3658392835293
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,14.6341607164707
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,-8.36583928352928
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,-22.3658392835293
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,43.6341607164707
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,3.63416071647072
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,-33.3658392835293
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,5.63416071647072
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,15.6341607164707
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,9.13416071647072
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,-16.3658392835293
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,5.13416071647072
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,-22.8658392835293
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,66.6341607164707
Etoposide,Bristol-GFP/Bristol-GFP,median.TOF,-3.36583928352927
