strain,amsacrine_f.L1,etoposide_median.TOF
AB1,NA,13.9348781451542
AB4,0.0328637069220515,2.85772904576406
BRC20067,0.0404361864913772,3.44925836368901
CB4852,-0.0412354366627608,-4.91122648152942
CB4853,-0.0313154963201554,-6.29415269171699
CB4854,0.0479029697775984,-29.0639690166243
CB4855,-0.00579816094107656,33.7772388943228
CB4856,-0.0863110504643282,-65.7109234443128
CB4857,0.226892110929354,-20.0398007041331
CB4858,-0.122213338938568,22.3689429555034
CB4932,-0.00896317758344324,20.061513089008
CX11254,0.0359061176751966,-9.52496202196276
CX11262,-0.0444593284869841,10.0689626795829
CX11264,NA,-42.2777440469788
CX11271,-0.0357822166855364,23.2762913259283
CX11276,0.015745824755064,22.0451912150503
CX11285,-0.0239921089711286,11.9575417621802
CX11292,-0.0291700316095847,15.6095690210902
CX11307,-0.111237896711871,-12.2804650963067
CX11314,-0.0170685305817706,13.5843828841456
CX11315,0.0394754353860309,-12.7665128256548
DL200,-0.0259108630440859,NA
DL226,-0.0355607674062066,11.7824755598713
DL238,0.00566173567208022,-18.1645864101973
ECA36,0.0380046064805666,43.2817327845951
ED3005,-0.0186020032239443,-19.6062535418698
ED3011,0.0235301935114383,-43.3988580136433
ED3012,NA,NA
ED3017,0.00272722878744409,-33.2214593061122
ED3040,0.107175385666948,4.95716044039404
ED3046,-0.0152066298216987,34.6934673589641
ED3048,0.0182577287938645,-17.4138588927975
ED3049,-0.0702842509940209,-50.8622027194422
ED3052,NA,-38.445784987855
ED3073,0.0221958169246371,10.4193936799459
ED3077,0.0147049918901413,-20.6331842814889
EG4347,0.0134202811204115,2.97815587532376
EG4349,0.0182757535190234,-89.44950687693
EG4725,-0.0145020055997862,18.8126882775584
EG4946,-0.0198111107264187,31.2070479219835
GXW1,-0.0354331233413944,25.1185928181849
JT11398,-0.0372973757926461,3.38091590786792
JU1088,0.133148344132605,-43.6144855667448
JU1172,0.0356999054637579,13.9567007346906
JU1200,-0.00682693876523769,13.2641441927841
JU1212,0.00738632653913218,-18.2113048296245
JU1213,0.0328007034368561,-7.36756480251259
JU1242,0.0211414828463065,4.82875077353937
JU1395,-0.00531229516539565,18.56211708885
JU1400,0.218926187677244,-74.9795070492866
JU1409,0.213773323355828,NA
JU1440,0.0316300048939978,-53.5273600981314
JU1491,0.034432374545861,-6.24440592447792
JU1530,-0.0187479534757313,-20.4221852986449
JU1568,0.0388697349547961,-15.5556677331956
JU1581,0.00107788974923872,31.17830566803
JU1586,NA,-27.4951757221368
JU1652,0.0116748117729477,-33.2458987125112
JU1896,-0.0377563274420325,16.7818237993276
JU2001,0.0405398966239106,15.5314209738634
JU2007,-0.0336188452729095,0.621993127147738
JU2316,0.0204246322404592,44.8936002582015
JU2464,0.0266771476308602,17.7465074027751
JU2466,-0.00481468953801035,14.7368318451367
JU2513,0.0240498115795323,0.485054745462832
JU2519,0.0553024210219409,5.3899808244363
JU2522,-0.0458524613911508,22.6635212567346
JU2526,-0.0608390502005176,17.2368318451367
JU258,-0.0209476059281645,-4.1283077812253
JU310,0.0337879019498873,-15.4125414988271
JU311,0.0131083919449724,39.9546393233763
JU323,0.00667492533761836,-16.0014311859106
JU346,-0.0486309385110281,30.8852265028745
JU360,-0.0553846532899042,7.99192249777025
JU393,-0.0351595590388006,4.98299333414848
JU394,-0.0519174739693453,15.9809319228341
JU397,0.039369776866403,2.83989885760073
JU406,-0.0384073294981347,-19.5111696192013
JU440,-0.0464748622509938,-5.71814870158115
JU561,0.00417746446463499,6.94696230139992
JU642,-0.0329201095506997,-24.2150749941596
JU751,-0.0117631319372288,4.44356199243707
JU774,-0.0601513770616416,-1.46930153980248
JU775,-0.0870242637349064,32.9846053777203
JU778,-0.00933171692421067,24.7938435715901
JU782,-0.0222501215548834,57.4027484990466
JU792,0.0885587121455994,1.36606037036901
JU830,-0.00210366583174889,14.6991991067771
KR314,-0.0448202956253821,25.1683312164681
