condition,strain,trait,phenotype
amsacrine,QX495,f.L1,-0.0326308155800785
amsacrine,QX14,f.L1,-0.0449609196369372
amsacrine,QX338,f.L1,-0.0188667705384419
amsacrine,QX163,f.L1,-0.0639099403378648
amsacrine,CB4856,f.L1,-0.0763655541035008
amsacrine,QX312,f.L1,-0.00386966437198705
amsacrine,QX598,f.L1,-0.01187366471877
amsacrine,QX331,f.L1,0.0251327622600309
amsacrine,QX133,f.L1,-0.0289538117678572
amsacrine,QX472,f.L1,-0.0161788996328617
amsacrine,QX556,f.L1,-0.0102706192660628
amsacrine,QX178,f.L1,0.0643184478244342
amsacrine,QX392,f.L1,-0.0211825670715095
amsacrine,QX412,f.L1,-0.0644827894408795
amsacrine,QX390,f.L1,0.000635552513946068
amsacrine,QX78,f.L1,0.0173211896302357
amsacrine,QX280,f.L1,0.0265924255135223
amsacrine,QX310,f.L1,-0.0576535777063948
amsacrine,N2,f.L1,0.0693004722566324
amsacrine,QX396,f.L1,-0.0510924949757244
amsacrine,QX400,f.L1,-0.0544491425742902
amsacrine,QX366,f.L1,0.0321136291705154
amsacrine,QX527,f.L1,0.0274928505955703
amsacrine,QX294,f.L1,-0.00473563833696254
amsacrine,QX368,f.L1,-0.0868949177501835
amsacrine,QX327,f.L1,-0.0544988284829381
amsacrine,QX356,f.L1,-0.0509886071067537
amsacrine,QX48,f.L1,0.0158136666495487
amsacrine,QX387,f.L1,0.00651861274002956
amsacrine,QX263,f.L1,0.0112756344640174
amsacrine,QX226,f.L1,0.0215183205929542
amsacrine,QX329,f.L1,-0.0575573859427103
amsacrine,QX38,f.L1,0.0131564601024924
amsacrine,QX324,f.L1,-0.00207667072102089
amsacrine,QX10,f.L1,0.0151837851312898
amsacrine,QX71,f.L1,0.0771944537702946
amsacrine,QX478,f.L1,-0.0028410590883906
amsacrine,QX346,f.L1,0.00987696909501984
amsacrine,QX596,f.L1,0.00305852825458889
amsacrine,N2,f.L1,-0.0623621140070651
amsacrine,QX381,f.L1,0.0528666445082768
amsacrine,QX457,f.L1,-0.0256048607940962
amsacrine,QX136,f.L1,0.00445076877046755
amsacrine,QX61,f.L1,0.0682537869228701
amsacrine,N2,f.L1,0.01760311628337
amsacrine,QX144,f.L1,0.0274551279309339
amsacrine,QX281,f.L1,0.00380843275318868
amsacrine,QX300,f.L1,-0.0071533384489371
amsacrine,QX264,f.L1,-0.0148197904753211
amsacrine,QX5,f.L1,0.0297768226914268
amsacrine,QX64,f.L1,-0.0310156004423539
amsacrine,QX159,f.L1,0.118485408270658
amsacrine,QX391,f.L1,-0.0275659807076414
amsacrine,QX379,f.L1,0.0247072074957139
amsacrine,QX583,f.L1,-0.00700567494724134
amsacrine,QX501,f.L1,-0.0203066761788425
amsacrine,QX353,f.L1,0.0135925429763451
amsacrine,QX124,f.L1,-0.0279606730540534
amsacrine,QX471,f.L1,-0.069222899906556
amsacrine,QX129,f.L1,0.0526758337271997
amsacrine,QX424,f.L1,-0.00597740184726366
amsacrine,N2,f.L1,-0.0167842607851435
amsacrine,QX464,f.L1,-0.110998752700841
amsacrine,QX120,f.L1,0.0222982862245477
amsacrine,QX410,f.L1,-0.0379488837120577
amsacrine,QX40,f.L1,-0.0012804846884952
amsacrine,QX302,f.L1,-0.00433727856587359
amsacrine,QX303,f.L1,-0.00337428862193137
amsacrine,QX234,f.L1,-0.00124495021398033
amsacrine,QX68,f.L1,-0.0323828848984804
amsacrine,QX320,f.L1,-0.0396344143354719
amsacrine,QX138,f.L1,-0.0338651968242789
amsacrine,QX73,f.L1,0.100630307845416
amsacrine,QX398,f.L1,-0.0367995485044643
amsacrine,QX203,f.L1,-0.0401927712871515
amsacrine,QX395,f.L1,0.0148816843863156
amsacrine,QX443,f.L1,0.0181530047284163
amsacrine,QX59,f.L1,0.38937107071325
amsacrine,QX70,f.L1,0.0111968302078377
amsacrine,QX545,f.L1,-0.0137663646574841
amsacrine,QX587,f.L1,0.0490681319217252
amsacrine,QX34,f.L1,-0.0170543444872888
amsacrine,QX276,f.L1,-0.0599854112599525
amsacrine,QX493,f.L1,-0.0202517591818183
amsacrine,N2,f.L1,0.0576587324493022
amsacrine,QX87,f.L1,-0.0396600021439165
amsacrine,QX359,f.L1,-0.037746918375875
amsacrine,QX399,f.L1,-0.00353131640045966
amsacrine,QX305,f.L1,-0.0306084607148432
amsacrine,QX363,f.L1,0.0282047324250022
amsacrine,QX445,f.L1,0.0218419400355834
amsacrine,QX524,f.L1,0.0477025721943441
amsacrine,QX252,f.L1,-0.0125963329546899
amsacrine,QX446,f.L1,0.0293161317205935
amsacrine,QX515,f.L1,-0.0310803862402713
amsacrine,QX431,f.L1,-0.00428902801246118
amsacrine,QX440,f.L1,0.051069731784708
amsacrine,QX423,f.L1,0.036952212501252
amsacrine,QX122,f.L1,-0.0865857604062627
amsacrine,QX455,f.L1,-0.0202865917917563
amsacrine,QX216,f.L1,0.00161721356510507
amsacrine,QX551,f.L1,0.0108663733701396
amsacrine,QX289,f.L1,0.0524223039905372
amsacrine,QX458,f.L1,-0.082457235497318
amsacrine,QX123,f.L1,-0.0213274534140112
amsacrine,QX110,f.L1,0.238416058249906
amsacrine,QX345,f.L1,-0.0282085126393058
amsacrine,QX555,f.L1,-0.0316520666867292
amsacrine,QX285,f.L1,-0.0174968255531457
amsacrine,QX241,f.L1,-0.0466288829664552
amsacrine,CB4856,f.L1,-0.0945372703661853
amsacrine,QX357,f.L1,0.0497933646390125
amsacrine,QX489,f.L1,0.0810188996159383
amsacrine,QX533,f.L1,-0.0217734256188946
amsacrine,QX330,f.L1,0.0527706630297318
amsacrine,QX512,f.L1,-0.0627314557078889
amsacrine,QX542,f.L1,-0.0317562786337047
amsacrine,QX8,f.L1,-0.0792455636821574
amsacrine,QX460,f.L1,-0.0274037331538919
amsacrine,QX268,f.L1,-0.00024042464518464
amsacrine,QX564,f.L1,-0.0602464692727147
amsacrine,QX106,f.L1,0.0550386990335828
amsacrine,QX572,f.L1,0.138125123372368
amsacrine,QX6,f.L1,0.0454480957555991
amsacrine,QX287,f.L1,0.0276918953361116
amsacrine,QX258,f.L1,-0.0260870531685472
