date,experiment,round,assay,plate,condition,control,strain,row,col,trait,phenotype,.fitted,.se.fit,.hat,.sigma,.cooksd,.std.resid
20161017,top,2,dact,2,Dactinomycin,DMSO,N2,A,1,n,-37.9048641886938,44.9048641886925,2.2323782723236,0.00444918521398906,33.4484377183621,0.00575822223657664,-1.13510407972654
20161017,top,2,dact,2,Dactinomycin,DMSO,N2,A,10,n,-37.9048641886938,44.9048641886925,2.2323782723236,0.00444918521398906,33.4484377183621,0.00575822223657664,-1.13510407972654
20161017,top,2,dact,2,Dactinomycin,DMSO,N2,A,11,n,-35.9048641886926,44.9048641886925,2.2323782723236,0.00444918521398907,33.4573382758866,0.00516660320632264,-1.07521181502529
20161017,top,2,dact,2,Dactinomycin,DMSO,N2,A,2,n,-35.9048641886926,44.9048641886925,2.2323782723236,0.00444918521398907,33.4573382758866,0.00516660320632264,-1.07521181502529
20161017,top,2,dact,2,Dactinomycin,DMSO,N2,A,3,n,-19.9048641886926,44.9048641886925,2.2323782723236,0.00444918521398907,33.5111276835202,0.0015878774088203,-0.596073697415519
20161017,top,2,dact,2,Dactinomycin,DMSO,N2,A,4,n,-34.9048641886926,44.9048641886925,2.2323782723236,0.00444918521398907,33.4616068326689,0.00488281688332631,-1.04526568267468
20161017,top,2,dact,2,Dactinomycin,DMSO,N2,A,5,n,-33.9048641886926,44.9048641886925,2.2323782723236,0.00444918521398907,33.4657543037128,0.00460704602175029,-1.01531955032407
20161017,top,2,dact,2,Dactinomycin,DMSO,N2,A,6,n,-23.9048641886926,44.9048641886925,2.2323782723236,0.00444918521398907,33.5005785425307,0.00229018778410807,-0.715858226817962
20161017,top,2,dact,2,Dactinomycin,DMSO,N2,A,8,n,-30.9048641886926,44.9048641886925,2.2323782723236,0.00444918521398907,33.4774706458782,0.0038278262055442,-0.925481153272236
20161017,top,2,dact,2,Dactinomycin,DMSO,CB4856,B,1,n,-5.32933736203291,41.3293373620328,2.05462629502322,0.00376886512051964,33.5332592180208,9.62901165016195e-05,-0.15953854012646
20161017,top,2,dact,2,Dactinomycin,DMSO,CB4856,B,10,n,-3.32933736203291,41.3293373620328,2.05462629502322,0.00376886512051964,33.5343001191052,3.75794911151307e-05,-0.0996667289466913
20161017,top,2,dact,2,Dactinomycin,DMSO,CB4856,B,11,n,-5.32933736203291,41.3293373620328,2.05462629502322,0.00376886512051964,33.5332592180208,9.62901165016195e-05,-0.15953854012646
20161017,top,2,dact,2,Dactinomycin,DMSO,CB4856,B,2,n,4.67066263796709,41.3293373620328,2.05462629502322,0.00376886512051964,33.5336551341685,7.39592135582999e-05,0.139820515772382
20161017,top,2,dact,2,Dactinomycin,DMSO,CB4856,B,3,n,2.67066263796709,41.3293373620328,2.05462629502322,0.00376886512051964,33.5345376619812,2.41809493491389e-05,0.0799487045926136
20161017,top,2,dact,2,Dactinomycin,DMSO,CB4856,B,4,n,-8.32933736203291,41.3293373620328,2.05462629502322,0.00376886512051964,33.5307961265055,0.000235210221579314,-0.249346256896112
20161017,top,2,dact,2,Dactinomycin,DMSO,CB4856,B,5,n,-9.32933736203291,41.3293373620328,2.05462629502322,0.00376886512051964,33.5297345979945,0.000295078034471334,-0.279282162485996
20161017,top,2,dact,2,Dactinomycin,DMSO,CB4856,B,6,n,9.67066263796709,41.3293373620328,2.05462629502322,0.00376886512051964,33.5293447412906,0.000317064597076444,0.289500043721803
20161017,top,2,dact,2,Dactinomycin,DMSO,CB4856,B,7,n,-2.32933736203291,41.3293373620328,2.05462629502322,0.00376886512051964,33.5346402404032,1.83950118214784e-05,-0.0697308233568071
20161017,top,2,dact,2,Dactinomycin,DMSO,CB4856,B,8,n,-4.32933736203291,41.3293373620328,2.05462629502322,0.00376886512051964,33.5338397799614,6.3544526008511e-05,-0.129602634536575
20161017,top,2,dact,2,Dactinomycin,DMSO,CB4856,B,9,n,-3.32933736203291,41.3293373620328,2.05462629502322,0.00376886512051964,33.5343001191052,3.75794911151307e-05,-0.0996667289466913
20161017,top,2,dact,2,Dactinomycin,DMSO,ECA402,D,1,n,-19.2140196820139,35.2140196820139,1.7506124078001,0.00273605558438655,33.5127924289265,0.000906746848399211,-0.574891156743279
20161017,top,2,dact,2,Dactinomycin,DMSO,ECA402,D,3,n,-23.2140196820139,35.2140196820139,1.7506124078001,0.00273605558438655,33.5025941012276,0.00132358028287862,-0.694572757211593
20161017,top,2,dact,2,Dactinomycin,DMSO,ECA402,D,4,n,-20.2140196820139,35.2140196820139,1.7506124078001,0.00273605558438655,33.5104233995017,0.00100358684683684,-0.604811556860357
20161017,top,2,dact,2,Dactinomycin,DMSO,ECA402,D,5,n,-19.2140196820139,35.2140196820139,1.7506124078001,0.00273605558438655,33.5127924289265,0.000906746848399211,-0.574891156743279
20161017,top,2,dact,2,Dactinomycin,DMSO,ECA402,D,6,n,0.785980317986078,35.2140196820139,1.7506124078001,0.00273605558438655,33.5349292694946,1.51730515733247e-06,0.0235168455982921
20161017,top,2,dact,2,Dactinomycin,DMSO,ECA402,D,7,n,-24.2140196820139,35.2140196820139,1.7506124078001,0.00273605558438655,33.4997435046978,0.00144006924180217,-0.724493157328671
20161017,top,2,dact,2,Dactinomycin,DMSO,ECA549,F,1,n,-29.4361838274419,47.4361838274418,2.35821904846101,0.00496493077479567,33.4827825931294,0.00387921943653808,-0.881728276251508
20161017,top,2,dact,2,Dactinomycin,DMSO,ECA549,F,10,n,-28.4361838274419,47.4361838274418,2.35821904846101,0.00496493077479567,33.4862704556479,0.00362012828292032,-0.851774384081915
