strain,condition,dose_µM,trait,phenotype,Broad_sense_heritability
JU258,Etoposide,125,q75.TOF,-38.640625,0.304381766046181
JU258,Etoposide,250,q75.TOF,-64.140625,0.615354748540869
CB4856,Etoposide,0,q75.TOF,26.6875,1.04248603569343e-33
CB4856,Etoposide,31,q75.TOF,39.1875,0.0525360298460579
CB4856,Etoposide,62,q75.TOF,21.6875,0
CB4856,Etoposide,125,q75.TOF,-61.8125,0.304381766046181
CB4856,Etoposide,250,q75.TOF,-214.5625,0.615354748540869
DL238,Etoposide,0,q75.TOF,-62.71875,1.04248603569343e-33
DL238,Etoposide,31,q75.TOF,-32.71875,0.0525360298460579
DL238,Etoposide,62,q75.TOF,-30.71875,0
DL238,Etoposide,125,q75.TOF,-12.71875,0.304381766046181
DL238,Etoposide,250,q75.TOF,13.28125,0.615354748540869
CB4856,Etoposide,0,q75.TOF,45.6875,1.04248603569343e-33
CB4856,Etoposide,31,q75.TOF,69.6875,0.0525360298460579
CB4856,Etoposide,62,q75.TOF,50.9375,0
CB4856,Etoposide,125,q75.TOF,-80.8125,0.304381766046181
CB4856,Etoposide,250,q75.TOF,-240.3125,0.615354748540869
N2,Etoposide,0,q75.TOF,42.3833333333333,1.04248603569343e-33
N2,Etoposide,31,q75.TOF,5.88333333333333,0.0525360298460579
N2,Etoposide,62,q75.TOF,7.88333333333333,0
N2,Etoposide,125,q75.TOF,5.88333333333333,0.304381766046181
N2,Etoposide,250,q75.TOF,-20.1166666666667,0.615354748540869
DL238,Etoposide,0,q75.TOF,26.53125,1.04248603569343e-33
DL238,Etoposide,31,q75.TOF,22.53125,0.0525360298460579
DL238,Etoposide,62,q75.TOF,-14.71875,0
DL238,Etoposide,125,q75.TOF,-44.71875,0.304381766046181
DL238,Etoposide,250,q75.TOF,-86.71875,0.615354748540869
JU258,Etoposide,0,q75.TOF,-0.640625,1.04248603569343e-33
JU258,Etoposide,31,q75.TOF,-11.640625,0.0525360298460579
JU258,Etoposide,62,q75.TOF,16.859375,0
JU258,Etoposide,125,q75.TOF,-21.640625,0.304381766046181
JU258,Etoposide,250,q75.TOF,-91.640625,0.615354748540869
DL238,Etoposide,0,q75.TOF,8.78125,1.04248603569343e-33
DL238,Etoposide,31,q75.TOF,35.28125,0.0525360298460579
DL238,Etoposide,62,q75.TOF,19.78125,0
DL238,Etoposide,125,q75.TOF,-35.46875,0.304381766046181
DL238,Etoposide,250,q75.TOF,-86.96875,0.615354748540869
CB4856,Etoposide,0,q75.TOF,-32.3125,1.04248603569343e-33
CB4856,Etoposide,31,q75.TOF,7.6875,0.0525360298460579
CB4856,Etoposide,62,q75.TOF,22.6875,0
CB4856,Etoposide,125,q75.TOF,-17.0625,0.304381766046181
CB4856,Etoposide,250,q75.TOF,-168.3125,0.615354748540869
JU258,Etoposide,0,q75.TOF,89.359375,1.04248603569343e-33
JU258,Etoposide,31,q75.TOF,-3.890625,0.0525360298460579
JU258,Etoposide,62,q75.TOF,-4.640625,0
JU258,Etoposide,125,q75.TOF,-33.640625,0.304381766046181
JU258,Etoposide,250,q75.TOF,-66.390625,0.615354748540869
N2,Etoposide,0,q75.TOF,61.3833333333333,1.04248603569343e-33
N2,Etoposide,31,q75.TOF,2.63333333333333,0.0525360298460579
N2,Etoposide,62,q75.TOF,14.8833333333333,0
N2,Etoposide,125,q75.TOF,21.3833333333333,0.304381766046181
N2,Etoposide,250,q75.TOF,-44.1166666666667,0.615354748540869
JU258,Etoposide,0,q75.TOF,41.359375,1.04248603569343e-33
JU258,Etoposide,31,q75.TOF,5.609375,0.0525360298460579
JU258,Etoposide,62,q75.TOF,19.609375,0
JU258,Etoposide,125,q75.TOF,-87.640625,0.304381766046181
JU258,Etoposide,250,q75.TOF,-138.140625,0.615354748540869
DL238,Etoposide,0,q75.TOF,40.28125,1.04248603569343e-33
DL238,Etoposide,31,q75.TOF,1.28125,0.0525360298460579
DL238,Etoposide,62,q75.TOF,-18.71875,0
DL238,Etoposide,125,q75.TOF,-63.71875,0.304381766046181
DL238,Etoposide,250,q75.TOF,-74.96875,0.615354748540869
N2,Etoposide,0,q75.TOF,61.8833333333333,1.04248603569343e-33
N2,Etoposide,31,q75.TOF,0.883333333333326,0.0525360298460579
N2,Etoposide,62,q75.TOF,38.3833333333333,0
N2,Etoposide,125,q75.TOF,12.8833333333333,0.304381766046181
